Category,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Air Wick,Air Wick Cool Linen & White Lilac Air Freshener,,1.49,1,4211.jpg,,8,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Air Wick,Air Wick Lavender & Chamomile Fragrance 4 in 1 Air Freshener,,1.49,1,4215.jpg,,8,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Citrus Magic,Citrus Magic Fresh Citrus Solid Air Freshener,,4.69,1,4247.jpg,,8,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Glade,Glade Spray Powder Fresh Air Freshener,,1.49,1,4228.jpg,,8,fl oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Renuzit,Renuzit Home Fragrance Gel Fresh Accents After the Rain Air Freshener,,2.49,1,16750.jpg,,0.27,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Renuzit,"Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original",,1.29,1,4241.jpg,,7,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Glade,"Glade Air Freshener, Solid, Apple Cinnamon",,1.29,1,4226.jpg,,6,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Glade,Glade Solid Solid Air Freshener Clean Linen,,1.29,1,4217.jpg,,6,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Pure Citrus,"Pure Citrus Air Freshener, Orange",,4.89,1,4246.jpg,,6.25,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Renuzit,"Renuzit Air Freshener After the Rain Gel, Bottle",,1.29,1,4243.jpg,,7,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Renuzit,"Renuzit Air Freshener Lovely Lavender Gel, Bottle",,1.29,1,4242.jpg,,7,oz,,15
Dorm Essentials,Air Fresheners & Candles,Air Freshener,Renuzit,Renuzit Gel Air Freshener Forever Raspberry,,1.29,1,4244.jpg,,7,oz,,15
