Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Febreze,"Febreze Plug Scented Oil Refill, Linen & Sky",,5.79,1,4236.jpg,,0.87,fl oz,,15
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Air Wick,Air Wick Essential Oils Scented Oil Refills Fresh Waters,,6.09,1,4212.jpg,,1.34,fl oz,,15
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Air Wick,Air Wick Snuggle Scented Oil Refills Fresh Linen,,7.99,1,4202.jpg,,3,x 0.67 fl oz,,15
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Glade,Glade PlugIns Scented Oil Refills Clean Linen,,6.09,1,4229.jpg,,2,count,,15
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Glade,Glade PlugIns Scented Oil Refills Lavender & Vanilla,,6.09,1,4222.jpg,,2,x 1.34 fl oz,,15
Dorm Essentials,Air Fresheners & Candles,Scented Oil Refill,Glade,Glade PlugIns Scented Oil Refills Vanilla Passion Fruit & Hawaiian Breeze,,6.09,1,4225.jpg,,2,x 1.34 fl oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,Glade,Scrubbing Bubbles Glade Rainshower Toilet Cleaning Gel,,4.89,1,4294.jpg,,1.34,oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,Lysol,Lysol Toilet Bowl Cleaner Clean & Fresh,,4.89,1,4259.jpg,,24,fl oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,Lysol,Lysol With Hydrogen Peroxide Toilet Bowl Cleaner,,2.49,1,4254.jpg,,24,fl oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,Varnish Drop Ins,Vanish Drop-Ins Toilet Bowl Cleaner,,1.49,1,16762.jpg,,1.7,oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,X-14,X-14 Automatic Toilet Bowl Cleaner,,1.69,1,16818.jpg,,1.6,oz,,15
Dorm Essentials,Cleaning Products,Toilet Cleaner,X-14,X-14 Toilet Bowl Cleaner,,1.69,1,16785.jpg,,1.7,oz,,15
Dorm Essentials,Cleaning Products,Window and Glass Cleaner,Market Basket,Market Basket Window And Glass Cleaner,,2.49,1,Market Basket.jpg,,32,fl oz,,15
Dorm Essentials,Cleaning Products,Window and Glass Cleaner,Windex,Windex Original Window Cleaner Value Refill,,6.09,1,16803.jpg,,67.6,fl oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Market Basket,Market Basket Lemon Scent Dishwasher Gel,,4.69,1,Market Basket.jpg,,75,fl oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Market Basket,Market Basket Orange Scent Dishwasher Gel,,4.69,1,Market Basket.jpg,,75,oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Oxi Clean,Oxi Clean Lemon Clean Dishwasher Detergent,,4.89,1,4383.jpg,,12.7,oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Palmolive,Palmolive Eco + Phosphate Free Gel Dishwasher Detergent Lemon Splash,,5.19,1,4358.jpg,,75,oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Planet,"Planet Dishwasher Detergent, Free & Clear, Automatic",,6.09,1,16850.jpg,,75,oz,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Seventh Generation,Seventh Generation Dishwasher Detergent Packs Fragrance Free,,7.39,1,18064.jpg,,20,count,,15
Dorm Essentials,Dish Detergents,Dishwasher Detergent,Seventh Generation,Seventh Generation Dishwasher Detergent Powder Fragrance Free,,4.59,1,18062.jpg,,45,oz,,15
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Reynolds,Reynolds Bakeware Disposable 12.75 in x 9 in x 1.84 in Carrier Kit,,4.89,1,4483.jpg,,1,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Store Brand,Drinking Straws,,1.29,1,Market Basket.jpg,,100,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Store Brand,Foil Baking Cups,,1.59,1,Market Basket.jpg,,50,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Store Brand,Straws,,1.49,1,Market Basket.jpg,,100,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Store Brand,Toothpick Holder,,1.29,1,Market Basket.jpg,,1,count,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Swing-A-Way,"Swing-A-Way Can Opener, Portable",,7.39,1,16868.jpg,,1,count ,,12
Dorm Essentials,Food Storage & Kitchen Supplies,Utensils & Kitchen Supplies,Ziploc,"Ziploc Brand container with One Press Seal, Medium Round, Target Exclusive Print",,3.49,1,4404.jpg,,3,count,,12
Dorm Essentials,Trash Bags & Liners,Cooker Liner,Reynolds,Reynolds Kitchens Slow Cooker Liners,,3.09,1,4693.jpg,,4,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Extra Strong 30 GAL Large Trash Drawstring Bags - 28 CT,,8.59,1,4669.jpg,,28,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Glad,Glad Force Flex Large Trash Drawstring Bags Extra Strong,,15.89,1,4680.jpg,,50,count,,12
Dorm Essentials,Trash Bags & Liners,Large Trash Bags,Hefty,Hefty Extra Strong Multipurpose Large Drawstring Mega Pack Trash Bags,,14.09,1,4686.jpg,,56,count,,12
