Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Flex Drawstring Tall Kitchen Bags,,5.49,1,Market Basket.jpg,,38,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Flex Drawstring Tall Kitchen Bags,,10.99,1,Market Basket.jpg,,76,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,1.89,1,Market Basket.jpg,,15,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,3.69,1,Market Basket.jpg,,30,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,10.39,1,Market Basket.jpg,,80,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Tall Kitchen Black Drawstring Bags,,6.09,1,Market Basket.jpg,,40,count,,12
Dorm Essentials,Laundry,Scent Booster,Snuggle,Snuggle Scent Shakes Scent Booster Original,,5.61,1,DE0127.jpg,,255,g,,15
Dorm Essentials,Laundry,Scent Booster,Snuggle,Snuggle Scent Shakes Scent Booster Spring Burst,,5.61,1,DE0128.jpg,,255,g,,15
Dorm Essentials,Laundry,Scent Booster,Snuggle,Snuggle Scnt booster Concentrated Scent Pacs 20 loads,,4.99,1,DE0129.jpg,,400,g,,15
Dorm Essentials,Laundry,Fabric Softener,Snuggle,Ultra Snuggle Fabric Conditioner with Fresh Release Blue Sparkle 120 loads,,8.74,1,DE0130.jpg,,96,fl oz,,15
Dorm Essentials,Laundry,Fabric Softener,Final Touch,Final Touch Fabric Softener plus conditioner Lavender 36 Loads,,2.74,1,DE0131.jpg,,72,fl oz,,15
Dorm Essentials,Laundry,Fabric Softener,Final Touch,Final Touch Fabric Softener plus conditioner Spring Fresh 36 Loads,,2.74,1,DE0132.jpg,,72,fl oz,,15
Dorm Essentials,Laundry,Laundry Whitener,Out,Out white brite Laundry whitener,,7.86,1,DE0133.jpg,,1,lb,,15
Dorm Essentials,Laundry,Laundry Detergent,Febreze,Febreze Odor Eliminator Quick Dry Mist Crisp Clean Laundry Detergent,,6.24,1,DE0134.jpg,,15,fl oz,,15
Dorm Essentials,Paper Goods,Wipes,Scotties,Scotties Pocket Pack Ultra Plush,,0.25,1,DE0146.jpg,,10,count,,14
Dorm Essentials,Paper Goods,Wipes,Scotties,Scotties Pocket Packs ultra plush,,1.88,1,DE0147.jpg,,8,count,,14
Dorm Essentials,Paper Goods,Wipes,Market Basket,Market Basket Flushable Moist Wipes,,3.11,1,Market Basket.jpg,,1,unit,,14
Dorm Essentials,Paper Goods,Wipes,Market Basket,Market Basket Flushable Moist Wipes Refill & Travel Pack,,1.49,1,Market Basket.jpg,,1,unit,,14
Dorm Essentials,Paper Goods,Wipes,Market Basket,Market Basket Flushable Wipes scented,,2.49,1,Market Basket.jpg,,1,unit,,14
Dorm Essentials,Paper Goods,Wipes,Market Basket,Market Basket Fragrance Free Cleansing Wipes 36 wipes,,1.49,1,Market Basket.jpg,,1,unit,,14
