"Product ID","Category","Sub Category","Type","Brand","Product Name","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"40","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Air Wick","Air Wick Cool Linen & White Lilac Air Freshener","Air Wick Cool Linen & White Lilac Air Freshener","1.49","1.0","","8 oz","8 oz","4211.jpg",,"15"
"41","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Air Wick","Air Wick Lavender & Chamomile Fragrance 4 in 1 Air Freshener","Air Wick Lavender & Chamomile Fragrance 4 in 1 Air Freshener","1.49","1.0","","8 oz","8 oz","4215.jpg",,"15"
"42","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Citrus Magic","Citrus Magic Fresh Citrus Solid Air Freshener","Citrus Magic Fresh Citrus Solid Air Freshener","4.69","1.0","","8 oz","8 oz","4247.jpg",,"15"
"43","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Glade","Glade Spray Powder Fresh Air Freshener","Glade Spray Powder Fresh Air Freshener","1.49","1.0","","8 fl oz","8 fl oz","4228.jpg",,"15"
"44","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Home Fragrance Gel Fresh Accents After the Rain Air Freshener","Renuzit Home Fragrance Gel Fresh Accents After the Rain Air Freshener","2.49","1.0","","0.27 oz","0.27 oz","16750.jpg",,"15"
"45","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","1.29","1.0","","7 oz","7 oz","4241.jpg",,"15"
"46","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Glade","Glade Air Freshener, Solid, Apple Cinnamon","Glade Air Freshener, Solid, Apple Cinnamon","1.29","1.0","","6 oz","6 oz","4226.jpg",,"15"
"47","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Glade","Glade Solid Solid Air Freshener Clean Linen","Glade Solid Solid Air Freshener Clean Linen","1.29","1.0","","6 oz","6 oz","4217.jpg",,"15"
"48","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Pure Citrus","Pure Citrus Air Freshener, Orange","Pure Citrus Air Freshener, Orange","4.89","1.0","","6.25 oz","6.25 oz","4246.jpg",,"15"
"49","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Air Freshener After the Rain Gel, Bottle","Renuzit Air Freshener After the Rain Gel, Bottle","1.29","1.0","","7 oz","7 oz","4243.jpg",,"15"
"50","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Air Freshener Lovely Lavender Gel, Bottle","Renuzit Air Freshener Lovely Lavender Gel, Bottle","1.29","1.0","","7 oz","7 oz","4242.jpg",,"15"
"51","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Gel Air Freshener Forever Raspberry","Renuzit Gel Air Freshener Forever Raspberry","1.29","1.0","","7 oz","7 oz","4244.jpg",,"15"
