"Product ID","Category","Sub Category","Type","Brand","Product Name","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"8192","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Original Tomato Ketchup","Heinz Original Tomato Ketchup","7.99","0.0","","2 x 50.5 oz","2 x 50.5 oz","1561.jpg",,"2"
"8193","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Tomato Ketchup","Heinz Tomato Ketchup","2.49","0.0","","20 oz","20 oz","1553.jpg",,"2"
"8194","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Tomato Ketchup","Heinz Tomato Ketchup","2.09","0.0","","14 oz","14 oz","1554.jpg",,"2"
"8195","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Tomato Ketchup","Heinz Tomato Ketchup","4.36","0.0","","38 oz","38 oz","1556.jpg",,"2"
"8196","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Tomato Ketchup","Heinz Tomato Ketchup","4.29","0.0","","34 oz","34 oz","1558.jpg",,"2"
"8197","Cooking Needs","Condiments & Sauces","Condiments","Heinz","Heinz Tomato Ketchup","Heinz Tomato Ketchup","5.49","0.0","","64 oz","64 oz","1560.jpg",,"2"
"8198","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Light Mayonnaise Light Mayo Squeeze Bottle","Hellmann's Light Mayonnaise Light Mayo Squeeze Bottle","4.89","0.0","","20 oz","20 oz","17963.jpg",,"2"
"8199","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Light Mayonnaise Squeeze Mayo","Hellmann's Light Mayonnaise Squeeze Mayo","3.69","0.0","","11.5 fl oz","11.5 fl oz","17958.jpg",,"2"
"8202","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Mayonnaise Light","Hellmann's Mayonnaise Light","3.69","0.0","","15 fl oz","15 fl oz","1542.jpg",,"2"
"8203","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Mayonnaise Real Mayo","Hellmann's Mayonnaise Real Mayo","4.89","0.0","","30 oz","30 oz","17960.jpg",,"2"
"8205","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Mayonnaise, Real","Hellmann's Mayonnaise, Real","4.89","0.0","","20 fl oz","20 fl oz","17962.jpg",,"2"
"8206","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Real Mayonnaise","Hellmann's Real Mayonnaise","4.89","0.0","","36 oz","36 oz","1543.jpg",,"2"
"8207","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Real Mayonnaise","Hellmann's Real Mayonnaise","4.89","0.0","","22 fl oz","22 fl oz","1549.jpg",,"2"
"8211","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Real Mayonnaise Real Mayo Squeeze Bottle","Hellmann's Real Mayonnaise Real Mayo Squeeze Bottle","3.69","0.0","","11.5 oz","11.5 oz","17956.jpg",,"2"
"8212","Cooking Needs","Condiments & Sauces","Condiments","Hellmann's","Hellmann's Tartar Sauce","Hellmann's Tartar Sauce","2.19","0.0","","9 fl oz","9 fl oz","1545.jpg",,"2"
"8215","Cooking Needs","Condiments & Sauces","Condiments","Inglehoffer","Inglehoffer Mustard, Traditional Dijon","Inglehoffer Mustard, Traditional Dijon","3.69","0.0","","9 oz","9 oz","15347.jpg",,"2"
"8216","Cooking Needs","Condiments & Sauces","Condiments","Joseph's","Joseph's Hommus Dip Chocolate","Joseph's Hommus Dip Chocolate","4.29","0.0","","16 oz","16 oz","15346.jpg",,"1"
"8217","Cooking Needs","Condiments & Sauces","Condiments","Kabuto","Kabuto Soy Sauce Less Sodium","Kabuto Soy Sauce Less Sodium","2.71","0.0","","10 fl oz","10 fl oz","15391.jpg",,"3"
"8223","Cooking Needs","Condiments & Sauces","Condiments","Kraft","Kraft Miracle Whip Original Dressing","Kraft Miracle Whip Original Dressing","3.69","0.0","","30 fl oz","30 fl oz","1590.jpg",,"2"
"8226","Cooking Needs","Condiments & Sauces","Condiments","Lea & Perrins","Lea & Perrins The Original Worcestershire Sauce","Lea & Perrins The Original Worcestershire Sauce","4.89","0.0","","15 fl oz","15 fl oz","15349.jpg",,"2"
