"bid","title","slug","image","status","created_at","updated_at"
"1","Betty Crocker","betty-crocker",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"2","Aunt Jemima","aunt-jemima",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"3","Chiquita","chiquita",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"4","Store Brand","store-brand",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"5","Krusteaz","krusteaz",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"6","Ghirardelli","ghirardelli",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"7","Hershey's","hershey-s",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"8","Argo","argo",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"9","Arm & Hammer","arm-hammer",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"10","Davis","davis",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"11","Nestle La Lechera","nestle-la-lechera",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"12","Nestle","nestle",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"13","Goya","goya",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"14","Nestle Carnation","nestle-carnation",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"15","Crisco","crisco",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"16","Wesson","wesson",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"17","Spectrum","spectrum",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"18","Pam","pam",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"19","Bertolli","bertolli",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"20","Crisco Vegetable Oil Pure","crisco-vegetable-oil-pure",NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"21","Heinz","heinz",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"22","King Arthur","king-arthur",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"23","Kraft","kraft",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"24","Lucky Leaf","lucky-leaf",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"25","One-Pie","one-pie",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"26","Keebler","keebler",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"27","Nabisco","nabisco",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"28","Domino","domino",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"29","Splenda","splenda",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"30","Fleischmann's","fleischmann-s",NULL,"1","2020-05-02 19:39:08","2020-05-02 19:39:08"
"31","Swiss Miss","swiss-miss",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"32","Fox U-Bet","fox-u-bet",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"33","Ovaltine","ovaltine",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"34","Nature's Promise","nature-s-promise",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"35","KeVita","kevita",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"36","GT's","gt-s",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"37","Health-Ade","health-ade",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"38","Lipton","lipton",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"39","True Lemon","true-lemon",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"40","Country Time","country-time",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"41","Crystal Light","crystal-light",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"42","5-Hour Energy","5-hour-energy",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"43","Red Bull","red-bull",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"44","Rockstar","rockstar",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
