"col_id","title","color_code","slug","status","created_at","updated_at"
"1","Red","#ea5439",NULL,"1","2019-05-03 08:21:47","2019-05-03 08:21:47"
"2","Green","#6abc2e",NULL,"1","2019-05-03 08:24:01","2019-05-03 08:24:01"
"3","Yellow","#fbfb00",NULL,"1","2019-05-03 08:24:21","2019-05-03 08:24:21"
"4","Blue","#0cb3c0",NULL,"1","2019-05-03 08:24:45","2019-05-03 08:24:45"
"5","Purple","#8000ff",NULL,"1","2019-05-03 08:24:56","2019-05-03 08:25:32"
"1","Red","#ea5439",NULL,"1","2019-05-03 08:21:47","2019-05-03 08:21:47"
"2","Green","#6abc2e",NULL,"1","2019-05-03 08:24:01","2019-05-03 08:24:01"
"3","Yellow","#fbfb00",NULL,"1","2019-05-03 08:24:21","2019-05-03 08:24:21"
"4","Blue","#0cb3c0",NULL,"1","2019-05-03 08:24:45","2019-05-03 08:24:45"
"5","Purple","#8000ff",NULL,"1","2019-05-03 08:24:56","2019-05-03 08:25:32"
"1","Red","#ea5439",NULL,"1","2019-05-03 08:21:47","2019-05-03 08:21:47"
"2","Green","#6abc2e",NULL,"1","2019-05-03 08:24:01","2019-05-03 08:24:01"
"3","Yellow","#fbfb00",NULL,"1","2019-05-03 08:24:21","2019-05-03 08:24:21"
"4","Blue","#0cb3c0",NULL,"1","2019-05-03 08:24:45","2019-05-03 08:24:45"
"5","Purple","#8000ff",NULL,"1","2019-05-03 08:24:56","2019-05-03 08:25:32"
"1","Red","#ea5439",NULL,"1","2019-05-03 08:21:47","2019-05-03 08:21:47"
"2","Green","#6abc2e",NULL,"1","2019-05-03 08:24:01","2019-05-03 08:24:01"
"3","Yellow","#fbfb00",NULL,"1","2019-05-03 08:24:21","2019-05-03 08:24:21"
"4","Blue","#0cb3c0",NULL,"1","2019-05-03 08:24:45","2019-05-03 08:24:45"
"5","Purple","#8000ff",NULL,"1","2019-05-03 08:24:56","2019-05-03 08:25:32"
