"pid","aisle_no","title","main_image","short_name","slug","sku","bid","special_offers_meesage","highlight","body","cost","mrp","taxed","specification","parent_pid","status","created_at","updated_at"
"40","15","Air Wick Cool Linen & White Lilac Air Freshener","4211.jpg","Air Wick Cool Linen & White Lilac Air Freshener","air-wick-cool-linen-white-lilac-air-freshener",NULL,"321",,NULL,NULL,"1.49","1.49","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"41","15","Air Wick Lavender & Chamomile Fragrance 4 in 1 Air Freshener","4215.jpg","Air Wick Lavender & Chamomile Fragrance 4 in 1 Air Freshener","air-wick-lavender-chamomile-fragrance-4-in-1-air-freshener",NULL,"321",,NULL,NULL,"1.49","1.49","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"42","15","Citrus Magic Fresh Citrus Solid Air Freshener","4247.jpg","Citrus Magic Fresh Citrus Solid Air Freshener","citrus-magic-fresh-citrus-solid-air-freshener",NULL,"3046",,NULL,NULL,"4.69","4.69","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"43","15","Glade Spray Powder Fresh Air Freshener","4228.jpg","Glade Spray Powder Fresh Air Freshener","glade-spray-powder-fresh-air-freshener",NULL,"323",,NULL,NULL,"1.49","1.49","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"44","15","Renuzit Home Fragrance Gel Fresh Accents After the Rain Air Freshener","16750.jpg","Renuzit Home Fragrance Gel Fresh Accents After the Rain Air Freshener","renuzit-home-fragrance-gel-fresh-accents-after-the-rain-air-freshener",NULL,"325",NULL,NULL,NULL,"2.49","2.49","1",NULL,"0","1","2020-08-30 21:51:31","2020-11-03 18:35:51"
"45","15","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","4241.jpg","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","renuzit-snuggle-superfresh-gel-air-freshener-with-odor-eliminating-technology-original",NULL,"325",,NULL,NULL,"1.29","1.29","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"46","15","Glade Air Freshener, Solid, Apple Cinnamon","4226.jpg","Glade Air Freshener, Solid, Apple Cinnamon","glade-air-freshener-solid-apple-cinnamon",NULL,"323",,NULL,NULL,"1.29","1.29","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"47","15","Glade Solid Solid Air Freshener Clean Linen","4217.jpg","Glade Solid Solid Air Freshener Clean Linen","glade-solid-solid-air-freshener-clean-linen",NULL,"323",,NULL,NULL,"1.29","1.29","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"48","15","Pure Citrus Air Freshener, Orange","4246.jpg","Pure Citrus Air Freshener, Orange","pure-citrus-air-freshener-orange",NULL,"324",,NULL,NULL,"4.89","4.89","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
"49","15","Renuzit Air Freshener After the Rain Gel, Bottle","4243.jpg","Renuzit Air Freshener After the Rain Gel, Bottle","renuzit-air-freshener-after-the-rain-gel-bottle",NULL,"325",,NULL,NULL,"1.29","1.29","1",NULL,"0","1","2020-08-30 21:51:31","2020-08-30 21:51:31"
