Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Fresh Produce,Fresh Herbs,Sage,Uncle Vinny's,Uncle Vinny's Fresh Sage,,4.70,0,FP46.jpg,,0.75,oz,,20
Fresh Produce,Fresh Herbs,Tarragon,Infinite Herbs,Infinite Herbs Tarragon,,2.86,0,89.jpg,,1,oz,,20
Fresh Produce,Fresh Herbs,Tarragon,Uncle Vinny's,Uncle Vinny's Tarragon,,2.86,0,95.jpg,,0.75,oz,,20
Fresh Produce,Fresh Herbs,Thyme,Infinite Herbs,Infinite Herbs Fresh Thyme,,2.86,0,FP45.jpg,,0.67,oz,,20
Fresh Produce,Fresh Herbs,Thyme,Infinite Herbs,Infinite Herbs Thyme,,2.86,0,FP53.jpg,,1,oz,,20
Fresh Produce,Fresh Herbs,Thyme,Uncle Vinny's,Uncle Vinny's Fresh Thyme,,2.86,0,93.jpg,,1,oz,,20
Fresh Produce,Fresh Organic Fruits,Raspberries,Market Basket,Green Belle Organic Raspberries,,6.99,0,FP23.jpg,,0.5,pint container,,20
Fresh Produce,Fresh Organic Fruits,Raspberries,Market Basket,Organic Raspberries,,5.62,0,14179.jpg,,6,oz,,20
Fresh Produce,Fresh Organic Fruits,Strawberries,Foxy Organic,Foxy Organic Fresh Strawberries,,8.50,0,14270.jpg,,16,oz container,,20
Fresh Produce,Fresh Organic Fruits,Strawberries,Market Basket,Fresh Organic Strawberry,,8.50,0,18.jpg,,16,oz container,,20
Fresh Produce,Fresh Organic Fruits,Tangerine,Market Basket,Organic Murcott Tangerine,,6.99,0,14274.jpg,,32,oz bag,,20
Fresh Produce,Fresh Organic Herbs,Parsley,Foxy Organic,Foxy Organic Italian Parsley,,2.40,0,FP41.jpg,,1,lb,,20
Fresh Produce,Fresh Organic Herbs,Parsley,Gourmet Garden,"Gourmet Gardena, Lightly Dried Organic Parsley",,5.62,0,97.jpg,,0.35,oz,,20
Fresh Produce,Fresh Organic Herbs,Thyme,Infinite Herbs,Infinite Herbs Organic Thyme,,5.62,0,92.jpg,,4,oz,,20
Fresh Produce,Fresh Organic Vegetables,Tomato,Market Basket,Organic Greenhouse Grown Tomato,,5.62,0,FP121.jpg,,1,count,,20
Fresh Produce,Fresh Organic Vegetables,Tomato,Market Basket,Organic Stem Cluster Tomatoes (Approx: 8 ct),,4.24,0,FP124.jpg,,1,lb,,20
Fresh Produce,Fresh Organic Vegetables,Tomato,Market Basket,Sunset Organic Campari Tomatoes,,4.93,0,14318.jpg,,12,oz,,20
Fresh Produce,Fresh Organic Vegetables,White Mushroom,Monterey,Monterey Mushrooms Whole Organic White Mushrooms,,3.78,0,44.jpg,,8,oz container,,20
Fresh Produce,Fresh Vegetables,White Potato,Market Basket,White Potatoes bag,,4.24,0,FP147.jpg,,5,lb,,20
Fresh Produce,Fresh Vegetables,Yellow Onion,Market Basket,Yellow Jumbo Onions,,1.48,0,FP148.jpg,,1,lb,,20
Fresh Produce,Fresh Vegetables,Yellow Onion,Market Basket,Yellow Onions,,1.71,0,14368.jpg,,2,lb,,20
Fresh Produce,Fresh Vegetables,Yellow Potato,Chelsea Creek Farms,Chelsea Creek Farms Yellow Creamer Potatoes,,4.24,0,46.jpg,,2,lb,,20
Fresh Produce,Fresh Vegetables,Yuca,market Basket,Yuca,,1.42,0,f302.jpg,,1,lb,,20
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Alfresco,Alfresco Original Uncured Chicken Bacon,,3.69,0,4145.jpg,,14,count,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Applegate,Applegate Natural Reduced Sodium Sunday Bacon,,6.69,0,4184.jpg,,8,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Applegate,Applegate Organic Turkey Bacon,,6.99,0,4185.jpg,,8,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Butterball,Butterball Every Day Original Fully Cooked Turkey Bacon,,3.49,0,16743.jpg,,3,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Coleman,Coleman Uncured Hickory Smoked Bacon,,9.19,0,4192.jpg,,0.75,lb,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Farmland,Farmland Bacon,,4.69,0,18048.jpg,,16,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Hormel,Hormel Fully Cooked Original 100% Real Thick Cut Bacon,,4.39,0,16723.jpg,,2.52,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Hormel,Hormel Natural Hardwood Smoke Maple Bacon,,5.29,0,16736.jpg,,340,g,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Hormel,Hormel Natural Hardwood Smoke Original Bacon,,5.79,0,16741.jpg,,16,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Hormel,Hormel Naturally Hardwood Smoked 97% Fat Free Canadian Bacon,,4.59,0,16722.jpg,,6,oz,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Jennie-o,Jennie-O Turkey Bacon,,3.09,0,16727.jpg,,12,oz,,22
