Product ID,Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
6043,Beverages & Juices,Juices & Refrigerated Drinks,Juice & Nectars,Hawaiian Punch,Hawaiian Punch Fruit Juicy Red,014800646542,Hawaiian Punch Fruit Juicy Red,2.50,0,Market Basket,1 gal,1 gal,X3156.jpg,,10
6040,Beverages & Juices,Juices & Refrigerated Drinks,Juice & Nectars,Rose,Rose Sweetened Lime Juice,01660433,Rose Sweetened Lime Juice,3.74,0,Market Basket,12 fl oz,12 fl oz,X2780.jpg,,10
6582,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Dole,Dole 100% JUICE Orange Peach Mango,,Dole 100% JUICE Orange Peach Mango,3.13,0,Market Basket,59 fl oz,59 fl oz,X228.jpg,,1
6583,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Dole,Dole 100% JUICE Pineapple Orange Banana,,Dole 100% JUICE Pineapple Orange Banana,3.13,0,Market Basket,59 fl oz,59 fl oz,X229.jpg,,1
6584,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Dole,Dole 100% JUICE Orange Strawberry Banana,,Dole 100% JUICE Orange Strawberry Banana,3.13,0,Market Basket,59 fl oz,59 fl oz,X230.jpg,,1
6587,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Floridas Natural,Floridas Natural MOST PULP 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO,,Floridas Natural MOST PULP 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO,3.74,0,Market Basket,52 fl oz,52 fl oz,X269.jpg,,1
6588,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Floridas Natural,Floridas Natural 100% PRIMIUM FLORIDA ORANGE JUICE PASTEURIZED NOT FROM CONCENTRATE / NON GMO,,Floridas Natural 100% PRIMIUM FLORIDA ORANGE JUICE PASTEURIZED NOT FROM CONCENTRATE / NON GMO,3.74,0,Market Basket,52 fl oz,52 fl oz,X265.jpg,,1
6589,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Floridas Natural,Floridas Natural 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO CALICIUM & VITAMIN D,,Floridas Natural 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO CALICIUM & VITAMIN D,3.74,0,Market Basket,52 fl oz,52 fl oz,X267.jpg,,1
6593,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Floridas Natural,Floridas Natural NO PULP CALICIUM & VITAMIN D 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO,,Floridas Natural NO PULP CALICIUM & VITAMIN D 100% PRIMIUM Florida Natural ORANGE JUICE WITH  NOT CONCENTRATE / NON GMO,6.24,0,Market Basket,89 fl oz,89 fl oz,X271.jpg,,1
6595,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Goodbelly,GOODBELLY PROBIOTIC Tropical Green FLAVOR JuiceDrink 20 Billion Probiotics Per Serving FROM ,,GOODBELLY PROBIOTIC Tropical Green FLAVOR JuiceDrink 20 Billion Probiotics Per Serving FROM ,4.61,0,Market Basket,32 fl oz,32 fl oz,X307.jpg,,1
6603,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Market Basket,Market Basket 100% Pure Juice PREMIUM 100% PURE CALICIUM and Vitamin D  PASTEURIZED ORANGE  JUICE NOT FROM CONCENTRATE,,Market Basket 100% Pure Juice PREMIUM 100% PURE CALICIUM and Vitamin D  PASTEURIZED ORANGE  JUICE NOT FROM CONCENTRATE,3.13,0,Market Basket,59 fl oz,59 fl oz,X586.jpg,,1
6604,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Market Basket,Market Basket NO PULP PREMIUM 100% JUICE With Calcium PASTEURIZED ORANGE JUICE With CALICIUM + Vitamin D NOT FROM CONCENTRATE,,Market Basket NO PULP PREMIUM 100% JUICE With Calcium PASTEURIZED ORANGE JUICE With CALICIUM + Vitamin D NOT FROM CONCENTRATE,6.11,0,Market Basket,89 fl oz,89 fl oz,X589.jpg,,1
6605,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Market Basket,Market Basket NO PULP PREMIUM 100% JUICE Original PASTEURIZED ORANGE JUICE NOT FROM CONCENTRATE,,Market Basket NO PULP PREMIUM 100% JUICE Original PASTEURIZED ORANGE JUICE NOT FROM CONCENTRATE,6.11,0,Market Basket,89 fl oz,89 fl oz,X588.jpg,,1
6606,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Market Basket,Market Basket 100% Pure Juice PREMIUM 100% PURE Original PASTEURIZED ORANGE  JUICE NOT FROM CONCENTRATE,,Market Basket 100% Pure Juice PREMIUM 100% PURE Original PASTEURIZED ORANGE  JUICE NOT FROM CONCENTRATE,3.13,0,Market Basket,59 fl oz,59 fl oz,X587.jpg,,1
6609,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Minute maid,Minute Maid Zero sugar PINK LEMONADE,,Minute Maid Zero sugar PINK LEMONADE,3.13,0,Market Basket,52 fl oz,52 fl oz,X611.jpg,,1
6623,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Newman's Own,Newmen's Own Light Virgin Lemonade Beverage,,Newmen's Own Light Virgin Lemonade Beverage,2.86,0,Market Basket,59 fl oz,59 fl oz,X642.jpg,,1
6625,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Newman's Own,Newmen's Own Orange Mango Tango Fruit Juice Cocktail Beverage,,Newmen's Own Orange Mango Tango Fruit Juice Cocktail Beverage,2.86,0,Market Basket,59 fl oz,59 fl oz,X641.jpg,,1
6628,Beverages & Juices,Juices & Refrigerated Drinks,Refrigerated Drinks,Newman's Own,Newmen's Own Virgin Lemonade Beverage,,Newmen's Own Virgin Lemonade Beverage,2.86,0,Market Basket,59 fl oz,59 fl oz,X639.jpg,,1
