Product ID,Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
,Meat & Seafood,Packaged Meat & Seafood,Burger,20 Quarter Pound ,20 Quarter Pound ,,20 Quarter Pound ,19.99,0,Market Basket,80,oz,X4712.jpg,,1
,"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,3 Musketeers,3 Musketeers minis Chocolate Bars Candy,,3 Musketeers minis Chocolate Bars Candy,3.75,0,Market Basket,8.4,oz,X1.jpg,,3
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Sauce,A Taste Of Thai ,A Taste Of Thai Sweet Chilli Sause ,070650800367,A Taste Of Thai Sweet Chilli Sause ,4.36,0,Market Basket,7,fl oz,X5356.jpg,,3
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Sauce,A Taste Of Thai ,A Test Of Thai Sweet Chili Sauce ,070650800367,A Test Of Thai Sweet Chili Sauce ,3.13,0,Market Basket,7,fl oz,X5383.jpg,,3
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Sauces,A1,A1 est 1862 Original Sauce Shake Well See Nutrition Information,054400000054,A1 est 1862 Original Sauce Shake Well See Nutrition Information,4.99,0,Market Basket,10,oz,X2102.jpg,,2
,Breakfast & Dairy,Dairy & Eggs,Smoothies,Activia ,"Activia Probiotic Smoothies Og Added Sugar Flaxseeds, Mango, Carrot, Peach and Turmeric ",,"Activia Probiotic Smoothies Og Added Sugar Flaxseeds, Mango, Carrot, Peach and Turmeric ",0.99,0,Market Basket,7,fl oz,X2.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Smoothies,Activia ,"Activia Probiotic Smoothies Og Added Sugar Chai Seeds, Strawberry, Pomegranate, Blueberry, Beet",,"Activia Probiotic Smoothies Og Added Sugar Chai Seeds, Strawberry, Pomegranate, Blueberry, Beet",0.99,0,Market Basket,7,fl oz,X3.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia Strawberry Lowfat Yogurt 1.5% Milkfat Vitamin D,,Activia Strawberry Lowfat Yogurt 1.5% Milkfat Vitamin D,3.13,0,Market Basket,4 x 4,oz,X4.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia Blueberry Lowfat Yogurt 1.5% Milkfat Vitamin D,,Activia Blueberry Lowfat Yogurt 1.5% Milkfat Vitamin D,3.13,0,Market Basket,4 x 4,oz,X5.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia Vanilla Lowfat Yogurt 1.5% Milkfat Vitamin D ,,Activia Vanilla Lowfat Yogurt 1.5% Milkfat Vitamin D ,3.13,0,Market Basket,4 x 4,oz,X6.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia Black Cherry Lowfat Yogurt 1.5% Milkfat Vitamin D,,Activia Black Cherry Lowfat Yogurt 1.5% Milkfat Vitamin D,3.13,0,Market Basket,4 x 4,oz,X7.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia 60 Calories Vanilla Nonfat Yogurt 1.5% Milkfat Vitamin D ,,Activia 60 Calories Vanilla Nonfat Yogurt 1.5% Milkfat Vitamin D ,3.13,0,Market Basket,4 x 4,oz,X8.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia 60 Calories Strawberry Nonfat Yogurt Supports Gut health ,,Activia 60 Calories Strawberry Nonfat Yogurt Supports Gut health ,3.13,0,Market Basket,4 x 4,oz,X9.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia 6 Strawberry & 6 Blueberry Lowfat Yogurt 1.5% Milkfat . Vitamin D ,,Activia 6 Strawberry & 6 Blueberry Lowfat Yogurt 1.5% Milkfat . Vitamin D ,7.48,0,Market Basket,12 x 4,oz,X10.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia 6 Strawberry & 6 Peach Lowfat Yogurt 1.5% Milkfat . Vitamin D ,,Activia 6 Strawberry & 6 Peach Lowfat Yogurt 1.5% Milkfat . Vitamin D ,7.48,0,Market Basket,12 x 4,oz,X11.jpg,,1
,Breakfast & Dairy,Dairy & Eggs,Yogurt,Activia ,Activia 6 Black Cherry & 6 Peach Lowfat Yogurt 1.5% Milkfat . Vitamin D ,,Activia 6 Black Cherry & 6 Peach Lowfat Yogurt 1.5% Milkfat . Vitamin D ,7.48,0,Market Basket,12 x 4,oz,X12.jpg,,1
,Frozen Food,Frozen Pizza,Frozen Pizza,Against The Grain Gourmet ,Against The Grain Gourmet Pizza Three Cheese ,892453001082,Against The Grain Gourmet Pizza Three Cheese ,12.49,0,Market Basket,24,oz,X4869.jpg,,19
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Sauce,Ah-So,Ah So Chinese Style Duck Sauce ,073992001133,Ah So Chinese Style Duck Sauce ,3.13,0,Market Basket,10,oz,X5389.jpg,,3
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Sauce,Ah-So,Ah-So Sauce To Make Chinese Style ,073992001119,Ah-So Sauce To Make Chinese Style ,3.13,0,Market Basket,11,oz,X5390.jpg,,3
,"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Air Heads,Air Heads mini Bars Assorted Flavors,,Air Heads mini Bars Assorted Flavors,1.24,0,Market Basket,4.2,oz,X14.jpg,,3
,"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Albanese,Albanese Gummi Bears,,Albanese Gummi Bears,7.49,0,Market Basket,36,oz,X15.jpg,,3
,Cooking Needs,Baking & Cooking,Stuffing Mix,ALEIAs ,Aleias Best Taste Ever Savoury Stuffing Gluten Free and Dairy Free,,Aleias Best Taste Ever Savoury Stuffing Gluten Free and Dairy Free,4.99,0,Market Basket,10,oz,X17.jpg,,1
,Cooking Needs,Baking & Cooking,Stuffing Mix,ALEIAs ,Aleias Best Taste Ever Plain Stuffing Gluten Free and Dairy Free,,Aleias Best Taste Ever Plain Stuffing Gluten Free and Dairy Free,4.99,0,Market Basket,10,oz,X16.jpg,,1
,Pasta & Sauces,Raw Pasta,Raw Pasta,Alessi,Alessi Organic Italian Pasta Penne,071072001226,Alessi Organic Italian Pasta Penne,4.11,0,Market Basket,16,oz,X1559.jpg,,4
,Pasta & Sauces,Raw Pasta,Raw Pasta,Alessi,Alessi Organic Italian Pasta Rigatoni,071072001233,Alessi Organic Italian Pasta Rigatoni,4.11,0,Market Basket,16,oz,X1560.jpg,,4
,Pasta & Sauces,Raw Pasta,Raw Pasta,Alessi,Alessi Organic Italian Pasta Mezzi Paccheri,071072001240,Alessi Organic Italian Pasta Mezzi Paccheri,4.11,0,Market Basket,16,oz,X1561.jpg,,4
,Pasta & Sauces,Raw Pasta,Raw Pasta,Alessi,Alessi Organic Italian Pasta Linguine,071072001219,Alessi Organic Italian Pasta Linguine,3.74,0,Market Basket,16,oz,X1562.jpg,,4
,Pasta & Sauces,Raw Pasta,Raw Pasta,Alessi,Alessi Organic Italian Pasta Spaghetti Alla Chitarra,071072001202,Alessi Organic Italian Pasta Spaghetti Alla Chitarra,3.74,0,Market Basket,16,oz,X1563.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi All Natural Farro Beets and Spinach cooks like Risotto,071072801352,Alessi All Natural Farro Beets and Spinach cooks like Risotto,3.13,0,Market Basket,7,oz,X1154.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi Premium Risotto with Butternut Squash,071072803134,Alessi Premium Risotto with Butternut Squash,3.13,0,Market Basket,8,oz,X1155.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi Premium Risotto with Sundried Tomatoes,071072003145,Alessi Premium Risotto with Sundried Tomatoes,3.13,0,Market Basket,8,oz,X1156.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi All Natural Farro Butternut Squash and Kale cooks like Risotto,071072801369,Alessi All Natural Farro Butternut Squash and Kale cooks like Risotto,3.13,0,Market Basket,7,oz,X1157.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi All Natural Farro Porcini Mushroom cooks like Risotto,071072801345,Alessi All Natural Farro Porcini Mushroom cooks like Risotto,3.13,0,Market Basket,7,oz,X1158.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi Premium Risotto with Porcini Mushrooms,071072003121,Alessi Premium Risotto with Porcini Mushrooms,3.13,0,Market Basket,8,oz,X1159.jpg,,4
,Cooking Needs,Rice & Grains,Rice/Pasta Sides,Alessi,Alessi All Natural Farro Four Cheese Quattro Formaggi,071072801376,Alessi All Natural Farro Four Cheese Quattro Formaggi,3.13,0,Market Basket,7,oz,X1160.jpg,,4
,Cooking Needs,Oils & Vinegars,Oils & Vinegars,Alessi,Alessi Autentico Premium Aceto Balsamic Bianco White Balsamic Vinegar ,,Alessi Autentico Premium Aceto Balsamic Bianco White Balsamic Vinegar ,4.36,0,Market Basket,12.75,fl oz,X1787.jpg,,2
,Cooking Needs,Oils & Vinegars,Oils & Vinegars,Alessi,Alessi Autentico Premium Aceto Balsamic Bianco Orange Blossom Honey ,,Alessi Autentico Premium Aceto Balsamic Bianco Orange Blossom Honey ,3.74,0,Market Basket,8.5,fl oz,X1788.jpg,,2
,Cooking Needs,Oils & Vinegars,Oils & Vinegars,Alessi,Alessi Autentico Premium Aceto Balsamic Bianco Raspberry Blush ,,Alessi Autentico Premium Aceto Balsamic Bianco Raspberry Blush ,3.74,0,Market Basket,8.5,fl oz,X1789.jpg,,2
,Cooking Needs,Baking & Cooking,Pizza Sauce,Alessi,Alessi Autentico Grissini All' Aglio made with Alessi Extra Virgin Olive Oil Garlic Breadsticks,071072030547,Alessi Autentico Grissini All' Aglio made with Alessi Extra Virgin Olive Oil Garlic Breadsticks,1.56,0,Market Basket,4.4,oz,X1307.jpg,,4
,Cooking Needs,Baking & Cooking,Pizza Sauce,Alessi,Alessi Autentico Grissini Torinesi made with Alessi Extra Virgin Olive Oil Thin Breadsticks,071072030509,Alessi Autentico Grissini Torinesi made with Alessi Extra Virgin Olive Oil Thin Breadsticks,1.55,0,Market Basket,3,oz,X1308.jpg,,4
,Meat & Seafood,"Hot Dogs, Bacon & Sausage",Sausage,Alfresco,"Alfresco all natural ROASTED GARLIC & HERB with oregano,thyme and basil CHICKEN SAUSAGE",,"Alfresco all natural ROASTED GARLIC & HERB with oregano,thyme and basil CHICKEN SAUSAGE",4.99,0,Market Basket,13,oz,X18.jpg,,1
,Meat & Seafood,"Hot Dogs, Bacon & Sausage",Sausage,Alfresco,Alfresco all natural SWEET ITALIAN STYLE With red and green peppers  CHICKEN SAUSAGE,,Alfresco all natural SWEET ITALIAN STYLE With red and green peppers  CHICKEN SAUSAGE,4.99,0,Market Basket,13,oz,X19.jpg,,1
,Meat & Seafood,"Hot Dogs, Bacon & Sausage",Sausage,Alfresco,Alfresco all natural BUFFELO STYLE tangy With medium heat  CHICKEN SAUSAGE,,Alfresco all natural BUFFELO STYLE tangy With medium heat  CHICKEN SAUSAGE,4.99,0,Market Basket,13,oz,X20.jpg,,1
,Meat & Seafood,"Hot Dogs, Bacon & Sausage",Sausage,Alfresco,Alfresco all natural SWEET APPLE With Vermont Maple Syrup CHICKEN SAUSAGE,,Alfresco all natural SWEET APPLE With Vermont Maple Syrup CHICKEN SAUSAGE,4.99,0,Market Basket,13,oz,X21.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Bacon,Alfresco ,Alfresco Uncured Chicken Bacon ,,Alfresco Uncured Chicken Bacon ,4.99,0,Market Basket,3,oz,X4695.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Meatballs,Alfresco ,Alfresco Chiken Meat Balls ,,Alfresco Chiken Meat Balls ,6.24,0,Market Basket,12,oz,X4625.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Meatballs,Alfresco ,Alfresco Gourmet Chicken Meatballs Italian Style ,,Alfresco Gourmet Chicken Meatballs Italian Style ,8.74,0,Market Basket,18,oz,X4704.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Chicken Rotisserie Seasoned Chicken Sausage ,,Alfresco Chicken Rotisserie Seasoned Chicken Sausage ,5.86,0,Market Basket,12,oz,X4623.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Chicken Milditalian Style Chicken Sausage ,,Alfresco Chicken Milditalian Style Chicken Sausage ,5.86,0,Market Basket,12,oz,X4624.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Chicken breakfast Sausage Patties ,,Alfresco Chicken breakfast Sausage Patties ,4.36,0,Market Basket,7,oz,X4626.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Buffalo Style With blue Cheese Chicken Sausage ,,Alfresco Buffalo Style With blue Cheese Chicken Sausage ,6.23,0,Market Basket,11,oz,X4627.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Sweet Italian Style With Red And Green Pappers Chicken Sausage ,,Alfresco Sweet Italian Style With Red And Green Pappers Chicken Sausage ,6.24,0,Market Basket,11,oz,X4628.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Sweet And Smoky BBQ With Chili Papers Chicken Sausage ,,Alfresco Sweet And Smoky BBQ With Chili Papers Chicken Sausage ,6.24,0,Market Basket,11,oz,X4629.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Spinch & Feta With A Hint Of Rosemary Chicken Sausage ,,Alfresco Spinch & Feta With A Hint Of Rosemary Chicken Sausage ,6.24,0,Market Basket,11,oz,X4630.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Rosted Paper & Asiago With Mesquite Smoke Chicken Sausage ,,Alfresco Rosted Paper & Asiago With Mesquite Smoke Chicken Sausage ,6.24,0,Market Basket,11,oz,X4631.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Sweet Apple With Vermont Maple Syrup Sausage,,Alfresco Sweet Apple With Vermont Maple Syrup Sausage,6.24,0,Market Basket,11,oz,X4632.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Sundried Tomato With Basil And Tomatoes Chicken Sausage ,,Alfresco Sundried Tomato With Basil And Tomatoes Chicken Sausage ,6.24,0,Market Basket,11,oz,X4633.jpg,,1
,Meat & Seafood,Packaged Meat & Seafood,Sausage,Alfresco ,Alfresco Spicy Jalapeno With Jalapenos And Rosted Pappers Chicken Sausage ,,Alfresco Spicy Jalapeno With Jalapenos And Rosted Pappers Chicken Sausage ,6.24,0,Market Basket,11,oz,X4634.jpg,,1
,Condiments & Dressings,"Marinades, Ketchup & Sauces",Marinades & Meat Preparation,Allegro,Allegro Organial Marinade The Marinate Everything Marinade,074964001007,Allegro Organial Marinade The Marinate Everything Marinade,6.24,0,Market Basket,12,oz,X2023.jpg,,2
,"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Almond joy,Almond joy Coconut & Almond Chocolate Candy Bar,,Almond joy Coconut & Almond Chocolate Candy Bar,1.88,0,Market Basket,8.6,oz,X22.jpg,,3
,Breakfast & Dairy,Cereal,Muesli Cereal,Alpen,Alpen Muesli Orignal,055712025711,Alpen Muesli Orignal,4.99,0,Market Basket,14,oz,X3679.jpg,,5
,Breakfast & Dairy,Cereal,Muesli Cereal,Alpen,Alpen Muesli ,055712025728,Alpen Muesli ,4.99,0,Market Basket,14,oz,X3680.jpg,,5
,Condiments & Dressings,Pickled Goods & Olives,Pickled Goods & Olives,Alssi ,Alssi Autentico Premium Balsamic Capers Nonpareille Capers in white Balsamic Vinegar ,071072012499,Alssi Autentico Premium Balsamic Capers Nonpareille Capers in white Balsamic Vinegar ,1.88,0,Market Basket,24,oz,X2224.jpg,,2
