Product ID,Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
5873,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Fruit Punch,,4C Fruit Punch,1.88,0,Market Basket,18.6 oz,18.6 oz,bcs0330.jpg,,17
5875,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Half & Half Iced Tea Lemonade,,4C Half & Half Iced Tea Lemonade,4.99,0,Market Basket,13.9 oz,13.9 oz,bcs0332.jpg,,17
5877,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Fruit Punch,,4C Fruit Punch,6.24,0,Market Basket,58 oz,58 oz,bcs0334.jpg,,17
5878,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Lemonade,,4C Lemonade,6.24,0,Market Basket,58 oz,58 oz,bcs0335.jpg,,17
5881,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Ice Tea Mix Decaffeinated,,4C Ice Tea Mix Decaffeinated,1.88,0,Market Basket,13.9 oz,13.9 oz,bcs0338.jpg,,17
5882,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,4C,4C Iced Tea Mix Peach,,4C Iced Tea Mix Peach,6.24,0,Market Basket,4 lb,4 lb,bcs0339.jpg,,17
5961,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Raspberry Iced Tea,,Crystal Light Raspberry Iced Tea,3.75,0,Market Basket,1.85 oz,1.85 oz,4004.jpg,,17
5962,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Raspberry Lemonade Drink Mix,,Crystal Light Raspberry Lemonade Drink Mix,3.75,0,Market Basket,1.85 oz,1.85 oz,3997.jpg,,17
6056,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Peach Mango Green Tea,,Crystal Light Peach Mango Green Tea,3.75,0,Market Basket,1.85 oz,1.85 oz,bcs0487.jpg,,17
6057,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Strawberry Watermelon,,Crystal Light Strawberry Watermelon,3.75,0,Market Basket,1.85 oz,1.85 oz,bcs0488.jpg,,17
6058,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Pure Lemon Iced Tea,,Crystal Light Pure Lemon Iced Tea,3.75,0,Market Basket,2.53 oz,2.53 oz,bcs0489.jpg,,17
6059,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Crystal Light,Crystal Light Pure Lemonade,,Crystal Light Pure Lemonade,3.75,0,Market Basket,2.53 oz,2.53 oz,bcs0490.jpg,,17
5968,Beverages & Juices,Cocoa & Drink Mixes,Cocoa & Drink Mixes,Master of Mixes,Master of Mixes Handcrafted Margarita Mixer,,Master of Mixes Handcrafted Margarita Mixer,4.99,0,Market Basket,33.8 fl oz,33.8 fl oz,bcs0421.jpg,,17
