Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Breakfast & Dairy,Cereal,Cereal,Bran Flakes,Bran Flakes Whole Grain Wheat Cereal,,Bran Flakes Whole Grain Wheat Cereal,3.69,0,Market Basket,16 oz,16 oz,17543.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Cocoa Pebbles,Cocoa Pebbles Cereal,,Cocoa Pebbles Cereal,3.09,0,Market Basket,11 oz,11 oz,17581.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Cookie Crisp,"Cookie Crisp Cereal, Chocolate Chip Cookie Flavored",,"Cookie Crisp Cereal, Chocolate Chip Cookie Flavored",3.69,0,Market Basket,11.25 oz,11.25 oz,17603.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Essentials Everyday,Apple Crunchies Sweetened Multi grain Cereal,,Apple Crunchies Sweetened Multi grain Cereal,2.49,0,Market Basket,12.2 oz,12.2 oz,No Image.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Hannaford,Hannaford Apple Dapples Cereal,,Hannaford Apple Dapples Cereal,3.69,0,Market Basket,1.5 oz,1.5 oz,No Image.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Honey Bunches,Honey Bunches Of Oats Crispy with Almonds Cereal,,Honey Bunches Of Oats Crispy with Almonds Cereal,4.89,0,Market Basket,27 oz,27 oz,17566.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Honey Bunches,Honey Bunches Of Oats Crunchy Honey Roasted Cereal,,Honey Bunches Of Oats Crunchy Honey Roasted Cereal,4.89,0,Market Basket,27 oz,27 oz,17549.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Honey Bunches,Honey Bunches Of Oats Honey Bunches of Oats Cinnamon Bunches Cereal,,Honey Bunches Of Oats Honey Bunches of Oats Cinnamon Bunches Cereal,3.69,0,Market Basket,14.5 oz,14.5 oz,17557.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Honey Bunches,Honey Bunches Of Oats Honey Bunches of Oats with Real Strawberries Cereal,,Honey Bunches Of Oats Honey Bunches of Oats with Real Strawberries Cereal,3.69,0,Market Basket,13 oz,13 oz,17556.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Honey Bunches,Honey Bunches Of Oats Honey Roasted Cereal,,Honey Bunches Of Oats Honey Roasted Cereal,3.69,0,Market Basket,14.5 oz,14.5 oz,17544.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Meijer,Apple Cinnamon Toasted Oats,,Apple Cinnamon Toasted Oats,24.39,0,Market Basket,1 lb,1 lb,No Image.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Special K,"Special K Cereal, Chocolately Delight, Value Size",,"Special K Cereal, Chocolately Delight, Value Size",4.59,0,Market Basket,16.5 oz,16.5 oz,17611.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Total,Total Whole Grain Cereal,,Total Whole Grain Cereal,3.69,0,Market Basket,10.6 oz,10.6 oz,17617.jpg,,5
Breakfast & Dairy,Granola & Oats,Oats,Chex,Chex Gluten Free Variety Pack Maple Brown Sugar/Apple Cinnamon/Original Oatmeal,,Chex Gluten Free Variety Pack Maple Brown Sugar/Apple Cinnamon/Original Oatmeal,3.69,0,Market Basket,8.84 oz,8.84 oz,17650.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Old Wessex Ltd,Old Wessex Ltd. All Natural 5 Grain Cereal,,Old Wessex Ltd. All Natural 5 Grain Cereal,3.69,0,Market Basket,18.5 oz,18.5 oz,17649.jpg,,5
Breakfast & Dairy,Granola & Oats,Oats,Old Wessex Ltd,Old Wessex Ltd. All Natural Irish Style Oatmeal,,Old Wessex Ltd. All Natural Irish Style Oatmeal,3.69,0,Market Basket,18.5 oz,18.5 oz,17648.jpg,,5
Breakfast & Dairy,Granola & Oats,Oats,Vermont Bread,Vermont Bread Organic Soft Oatmeal,,Vermont Bread Organic Soft Oatmeal,5.49,0,Market Basket,24 oz,24 oz,17645.jpg,,18
Breakfast & Dairy,Cereal,Cereal,Weatena,Wheatena Whole Grain All Natural Toasted Wheat Whole Grain All Natural Toasted Wheat Cereal,,Wheatena Whole Grain All Natural Toasted Wheat Whole Grain All Natural Toasted Wheat Cereal,3.49,0,Market Basket,20 oz,20 oz,17636.jpg,,5
Breakfast & Dairy,Cereal,Muesli Cereal,Alpen,Alpen Muesli Orignal,055712025711,,4.99,0,Market Basket,14 oz,14 oz,X3679.jpg,,5
Breakfast & Dairy,Cereal,Muesli Cereal,Alpen,Alpen Muesli ,055712025728,,4.99,0,Market Basket,14 oz,14 oz,X3680.jpg,,5
Breakfast & Dairy,Cereal,Quinoa,Ancient Harvest,Ancient Harvest Quinoa Flakes,089125412004,,11.24,0,Market Basket,12 oz,12 oz,X3678.jpg,,5
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Aunt Jemima,Aunt Jemima Buttermilk Complete ,030000432723,,4.99,0,Market Basket,80 oz,80 oz,X5304.jpg,,3
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Aunt Jemima,Aunt Jemima Pancake & Waffle Mix Compleate,30000432662,,4.99,0,Market Basket,80 oz,80 oz,X5305.jpg,,3
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Aunt Jemima,Aunt Jemima Original Pancake & Waffle Mix Mezcla Para Pancakes ,030000050408,,3.13,0,Market Basket,32 oz,32 oz,X5313.jpg,,3
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Honey Rice Puffins,070617206089,,4.99,0,Market Basket,10 oz,10 oz,X3644.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Multigrain Puffins,070617006283,,4.99,0,Market Basket,10 oz,10 oz,X3645.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Orignal Puffins,070617206096,,4.99,0,Market Basket,10 oz,10 oz,X3646.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Cinnamon Puffins,070617206102,,4.99,0,Market Basket,10 oz,10 oz,X3647.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Protien Berry Burst Puffins,070617206300,,4.99,0,Market Basket,10 oz,10 oz,X3648.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Orignal Multigrain Spoonfuls,070617206072,,4.99,0,Market Basket,14 oz,14 oz,X3649.jpg,,5
Breakfast & Dairy,Cereal,Cereal,Barbaras,Barbaras Shredded Wheat Big Biscuit Cereal,070617344897,,4.99,0,Market Basket,15 oz,15 oz,X3650.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Banana Nut ,856416000178,,4.74,0,Market Basket,12 oz,12 oz,X3774.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Peanut Butter ,884623102453,,4.74,0,Market Basket,12 oz,12 oz,X3775.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Honey Almond ,884623100343,,4.74,0,Market Basket,11.2 oz,11.2 oz,X3776.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola V''nilla Almond  ,856416000710,,4.74,0,Market Basket,12 oz,12 oz,X3777.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Cacao & Cashew Butter ,884623101654,,4.63,0,Market Basket,11 oz,11 oz,X3778.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Chocolate ,884623469662,,4.74,0,Market Basket,12 oz,12 oz,X3779.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Toasted Coconut Almond ,884623102408,,4.74,0,Market Basket,12 oz,12 oz,X3780.jpg,,5
Breakfast & Dairy,Granola & Oats,Granola,Bear Naked ,Bear Naked Granola Orignal Cinnamon,884623100787,,4.74,0,Market Basket,11.2 oz,11.2 oz,X3781.jpg,,5
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Betty Crocker,Bisquick Shanke 'n Pour Buttermilk Pancake Mix,016000194267,,1.88,0,Market Basket,5.1 oz,5.1 oz,X3157.jpg,,2
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Betty Crocker,Bisquick Gluten Free Pancake and Baking Mix,016000277465,,5.36,0,Market Basket,16 oz,16 oz,X3163.jpg,,2
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Betty Crocker,Betty Cracker Original Bisquick Pancake & Baking Mix ,016000420809,,4.99,0,Market Basket,60 oz,60 oz,X5301.jpg,,3
Breakfast & Dairy,Pancake & Waffle Mix,Pancake & Waffle Mix,Betty Crocker,Betty Cracker Original Bisquick Pancake & Baking Mix ,016000420403,,4.49,0,Market Basket,40 oz,40 oz,X5302.jpg,,3
