Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,3 Musketeers,3 Musketeers Chocolate Fun Size Chocolate Bars Candy,,3 Musketeers Chocolate Fun Size Chocolate Bars Candy,1.29,0,Market Basket,2.93 oz,2.93 oz,14935.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Air Heads,Air Heads Xtremes Bites Rainbow Berry Artificial Flovored ,,,1.24,0,Market Basket,3.8 oz,3.8 oz,X13.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Andes,Andes Creme De Menthe Thins,,Andes Creme De Menthe Thins,2.49,0,Market Basket,4.67 oz,4.67 oz,14945.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Bobs,"Bobs Candy Canes, Peppermint",,"Bobs Candy Canes, Peppermint",1.29,0,Market Basket,6 oz,6 oz,14980.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Brookside,Brookside Dark Chocolate A̤ai and Blueberry Flavors,,Brookside Dark Chocolate A̤ai and Blueberry Flavors,3.69,0,Market Basket,7 oz,7 oz,14931.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Brookside,Brookside Dark Chocolate Pomegranate Flavor,,Brookside Dark Chocolate Pomegranate Flavor,3.69,0,Market Basket,7 oz,7 oz,14942.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Cadbury,Cadbury Dairy Milk Chocolate Bar,,Cadbury Dairy Milk Chocolate Bar,1.89,0,Market Basket,3.5 oz,3.5 oz,1051.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Cadbury,Cadbury Dairy Milk Fruit & Nut Milk Chocolate Bar,,Cadbury Dairy Milk Fruit & Nut Milk Chocolate Bar,1.89,0,Market Basket,3.5 oz,3.5 oz,1050.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Champion,Charleston Chew Mini Vanilla Chewy Flavored Chocolate Nougats,,Charleston Chew Mini Vanilla Chewy Flavored Chocolate Nougats,1.29,0,Market Basket,4 oz,4 oz,14927.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Dove,Dove Promises Silky Smooth Milk Chocolate,,Dove Promises Silky Smooth Milk Chocolate,4.59,0,Market Basket,8.87 oz,8.87 oz,14937.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Dove,"Dove Promises, Dark Chocolate Sea Salt Caramel",,"Dove Promises, Dark Chocolate Sea Salt Caramel",5.29,0,Market Basket,7.9 oz,7.9 oz,17950.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Dove,"Mars Dove Promises, Holiday Gift Dark Chocolate Christmas Candy Bag",,"Mars Dove Promises, Holiday Gift Dark Chocolate Christmas Candy Bag",4.59,0,Market Basket,8.87 oz,8.87 oz,14971.jpg,,3
"Chips, Cookies & Snacks",Candy & Chocolates,Candy & Chocolate,Drake's,Drake's Devil Dogs Creme Filled Devils Food Cakes,,Drake's Devil Dogs Creme Filled Devils Food Cakes,6.09,0,Market Basket,16 ct,16 ct,No Image.jpg,,18
