Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Bite Size Mini Baked Pretzels,,Bachman Bite Size Mini Baked Pretzels,3.91,0,Market Basket,16 oz,16 oz,14862.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Jax Cheddar Cheese Puffed Curls,,Bachman Jax Cheddar Cheese Puffed Curls,4.69,0,Market Basket,9.75 oz,9.75 oz,14848.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Pretzel Stix,,Bachman Pretzel Stix,3.91,0,Market Basket,6 x 1 oz,6 x 1 oz,14828.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Pretzel Stix Brick Oven Flame Baked,,Bachman Pretzel Stix Brick Oven Flame Baked,3.91,0,Market Basket,12 oz,12 oz,14837.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Rolled Rods Flame Baked Pretzels,,Bachman Rolled Rods Flame Baked Pretzels,3.91,0,Market Basket,10 oz,10 oz,14905.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Thin'n Right Baked Pretzels,,Bachman Thin'n Right Baked Pretzels,3.91,0,Market Basket,9 oz,9 oz,14903.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Butter Twists Pretzels,,Bachman Butter Twists Pretzels,3.91,0,Market Basket,10 oz,10 oz,bcs0146.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod 40% Reduced Fat Potato Chips,,Cape Cod 40% Reduced Fat Potato Chips,5.92,0,Market Basket,8 x 0.75 oz,8 x 0.75 oz,919.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Aged Cheddar & Sour Cream Potato Chips 40% Reduced Fat,,Cape Cod Kettle Cooked Aged Cheddar & Sour Cream Potato Chips 40% Reduced Fat,5.92,0,Market Basket,8 oz,8 oz,921.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Original Potato Chips,,Cape Cod Kettle Cooked Original Potato Chips,5.92,0,Market Basket,8 oz,8 oz,925.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size,,Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size,6.23,0,Market Basket,14 oz,14 oz,927.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Potato Chips Dark Russet,,Cape Cod Kettle Cooked Potato Chips Dark Russet,5.92,0,Market Basket,7.5 oz,7.5 oz,17919.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Potato Chips Sweet Mesquite Barbeque,,Cape Cod Kettle Cooked Potato Chips Sweet Mesquite Barbeque,5.92,0,Market Basket,8 oz,8 oz,924.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Less Fat Sea Salt & Vinegar Kettle Cooked Chips",,"Cape Cod Potato Chips, Less Fat Sea Salt & Vinegar Kettle Cooked Chips",5.92,0,Market Basket,8 oz,8 oz,917.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Original Kettle Cooked Chips",6.23,0,Market Basket,14 oz,14 oz,915.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Original Kettle Cooked Chips",5.92,0,Market Basket,8 oz,8 oz,920.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",6.23,0,Market Basket,14 oz,14 oz,914.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",5.92,0,Market Basket,8 oz,8 oz,923.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Sweet & Spicy Jalapeno Kettle Cooked Chips",,"Cape Cod Potato Chips, Sweet & Spicy Jalapeno Kettle Cooked Chips",5.92,0,Market Basket,8 oz,8 oz,918.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Lightly Salted 60% Less Sodium,,Cape Cod Lightly Salted 60% Less Sodium,5.92,0,Market Basket,8 oz,8 oz,bcs0002.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Sea Salt & Cracked Pepper,,Cape Cod Sea Salt & Cracked Pepper,5.92,0,Market Basket,8 oz,8 oz,bcs0003.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Sea Salt & Vinegar,,Cape Cod Sea Salt & Vinegar,5.92,0,Market Basket,8 oz,8 oz,bcs0004.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Party Size Waffle Cut Sea Salt,,Cape Cod Party Size Waffle Cut Sea Salt,6.23,0,Market Basket,14 oz,14 oz,bcs0005.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Crunchy Cheese Flavored Snacks,,Cheetos Crunchy Cheese Flavored Snacks,6.23,0,Market Basket,8.5 oz,8.5 oz,14850.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Puffs Cheese Flavored Snacks,,Cheetos Puffs Cheese Flavored Snacks,6.23,0,Market Basket,8 oz,8 oz,14823.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Puffcorn Cheddar Flavored Snacks,,Cheetos Puffcorn Cheddar Flavored Snacks,6.23,0,Market Basket,7 oz,7 oz,14876.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Chex Mix,Chex Mix Traditional Savory Snack Mix,,Chex Mix Traditional Savory Snack Mix,4.67,0,Market Basket,15 oz,15 oz,14853.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Chex Mix,Chex Mix Cheddar Savory Snack Mix,,Chex Mix Cheddar Savory Snack Mix,4.67,0,Market Basket,15 oz,15 oz,bcs0006.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Chex Mix,Chex Mix Honey Nut Snack Mix,,Chex Mix Honey Nut Snack Mix,3.13,0,Market Basket,8.5 oz,8.5 oz,bcs0007.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Chex Mix,Chex Mix Bold Snack Mix,,Chex Mix Bold Snack Mix,3.13,0,Market Basket,8.5 oz,8.5 oz,bcs0008.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Cool Ranch Tortilla Chips,,Doritos Cool Ranch Tortilla Chips,4.99,0,Market Basket,9.75 oz,9.75 oz,953.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Nacho Cheese Flavored Tortilla Chips,,Doritos Nacho Cheese Flavored Tortilla Chips,5.47,0,Market Basket,9.75 oz,9.75 oz,955.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Spicy Nacho Flavored Tortilla Chips,,Doritos Spicy Nacho Flavored Tortilla Chips,5.47,0,Market Basket,9.75 oz,9.75 oz,956.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Spicy Sweet Chilli Tortilla Chips,,Doritos Spicy Sweet Chilli Tortilla Chips,5.47,0,Market Basket,9.75,9.75,bcs0009.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Eatsmart Snacks,Eatsmart Snacks Garden Veggie Crisps with Sea Salt,,Eatsmart Snacks Garden Veggie Crisps with Sea Salt,3.91,0,Market Basket,6 oz,6 oz,14879.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Eatsmart Snacks,Eatsmart Snacks Garden Veggie Sticks with Potato Tomato & Spinach,,Eatsmart Snacks Garden Veggie Sticks with Potato Tomato & Spinach,3.91,0,Market Basket,7 oz,7 oz,14849.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Eatsmart Snacks,Eatsmart Organic Veggie Straws Himalayan Pink Salt Gluten Free,,Eatsmart Organic Veggie Straws Himalayan Pink Salt Gluten Free,3.91,0,Market Basket,6 oz,6 oz,bcs0169.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Eatsmart Snacks,Eatsmart Snacks Veggie Crisps 8 Snack Packs,,Eatsmart Snacks Veggie Crisps 8 Snack Packs,7.8,0,Market Basket,8 x 0.75 oz,8 x 0.75 oz,bcs0170.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Food Should Taste Good,"Food Should Taste Good Multigrain Tortilla Chips, Gluten Free",,"Food Should Taste Good Multigrain Tortilla Chips, Gluten Free",4.69,0,Market Basket,5.5 oz,5.5 oz,17948.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Food Should Taste Good,"Food Should Taste Good Sweet Potato Tortilla Chips, Gluten Free",,"Food Should Taste Good Sweet Potato Tortilla Chips, Gluten Free",4.69,0,Market Basket,5.5 oz,5.5 oz,bcs0010.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Food Should Taste Good,"Food Should Taste Good Blue Corn Tortilla Chips, Gluten Free",,"Food Should Taste Good Blue Corn Tortilla Chips, Gluten Free",4.69,0,Market Basket,5.5 oz,5.5 oz,bcs0011.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's & Mix Variety Pack,,Frito Lay's & Mix Variety Pack,8.24,0,Market Basket,10 x 1 oz,10 x 1 oz,14827.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's Classic Mix Party Size 28 Pack,,Frito Lay's Classic Mix Party Size 28 Pack,17.17,0,Market Basket,28 x 1 oz,28 x 1 oz,bcs0012.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's Flavor Mix Party Size 28 Pack,,Frito Lay's Flavor Mix Party Size 28 Pack,17.17,0,Market Basket,28 x 1 oz,28 x 1 oz,bcs0013.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Garden of Eatin',Garden of Eatin' Corn Tortilla Chips Blue Chips,,Garden of Eatin' Corn Tortilla Chips Blue Chips,5.47,0,Market Basket,8.1 oz,8.1 oz,14892.jpg,,0
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Garden of Eatin',Garden of Eatin' Corn Tortilla Chips Red Hot Blues Chips,,Garden of Eatin' Corn Tortilla Chips Red Hot Blues Chips,5.47,0,Market Basket,8.1 oz,8.1 oz,bcs0168.jpg,,0
