Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Paper Goods,Paper Napkins,Market Basket,Market Basket Napkins,,Market Basket Napkins,2.49,0,Market Basket,250 count,250 count,Market Basket.jpg,,14
Laundry & Paper Goods,Laundry,Fabric Softener,all,all fabric softener free clear 40 loads,,all fabric softener free clear 40 loads,3.74,1,Market Basket,32 fl oz,32 fl oz,DE0072.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Downy,Downy WrinkleGuard Fabric Conditioner,,Downy WrinkleGuard Fabric Conditioner,6.86,1,Market Basket,740 ml,740 ml,DE0118.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Ecos,"Ecos Laundry Detergent, Hypoallergenic, Built-in Fabric Softener, Lavender",,"Ecos Laundry Detergent, Hypoallergenic, Built-in Fabric Softener, Lavender",14.99,1,Market Basket,100 oz,100 oz,16907.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Final Touch,Final Touch Fabric Softener plus conditioner Lavender 36 Loads,,Final Touch Fabric Softener plus conditioner Lavender 36 Loads,2.74,1,Market Basket,72 fl oz,72 fl oz,DE0131.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Final Touch,Final Touch Fabric Softener plus conditioner Spring Fresh 36 Loads,,Final Touch Fabric Softener plus conditioner Spring Fresh 36 Loads,2.74,1,Market Basket,72 fl oz,72 fl oz,DE0132.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Gain,Gain fabric Softener original 60 Loads,,Gain fabric Softener original 60 Loads,6.86,1,Market Basket,1.53 L,1.53 L,DE0092.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Market Basket,Market Basket Ultra Fabric Softener Spring Scent 40 Loads,,Market Basket Ultra Fabric Softener Spring Scent 40 Loads,4.99,1,Market Basket,34 fl oz,34 fl oz,Market Basket.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Snuggle,Snuggle Plus super fresh Fabric conditioner Violet Breeze,,Snuggle Plus super fresh Fabric conditioner Violet Breeze,3.74,1,Market Basket,31.7 fl oz,31.7 fl oz,DE0122.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Snuggle,Snuggle exhilarations blue iris and ocean bridge fabric conditioner,,Snuggle exhilarations blue iris and ocean bridge fabric conditioner,3.74,1,Market Basket,32 fl oz,32 fl oz,DE0123.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Snuggle,Snuggle exhilarations amber woods and honeysuckle fabric conditioner,,Snuggle exhilarations amber woods and honeysuckle fabric conditioner,3.74,1,Market Basket,32 fl oz,32 fl oz,DE0124.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Snuggle,Snuggle exhilarations island hibiscus & rainflower fabric conditioner,,Snuggle exhilarations island hibiscus & rainflower fabric conditioner,3.74,1,Market Basket,32 fl oz,32 fl oz,DE0125.jpg,,15
Laundry & Paper Goods,Laundry,Fabric Softener,Snuggle,Ultra Snuggle Fabric Conditioner with Fresh Release Blue Sparkle 120 loads,,Ultra Snuggle Fabric Conditioner with Fresh Release Blue Sparkle 120 loads,8.74,1,Market Basket,96 fl oz,96 fl oz,DE0130.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all Detergent Free Clear,,all Detergent Free Clear,10.61,1,Market Basket,94.5 fl oz,94.5 fl oz,4548.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters original 4 in 1 mighty pacs Laundry Detergent,,all stainlifters original 4 in 1 mighty pacs Laundry Detergent,10.61,1,Market Basket,39 pacs,39 pacs,DE0073.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters free clear 4 in 1 mighty pacs Laundry Detergent,,all stainlifters free clear 4 in 1 mighty pacs Laundry Detergent,10.61,1,Market Basket,39 pacs,39 pacs,DE0074.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters fresh tropical mist detergent 26 Loads Laundry Detergent,,all stainlifters fresh tropical mist detergent 26 Loads Laundry Detergent,3.74,1,Market Basket,40 fl oz,40 fl oz,DE0075.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters original detergent 66 Loads Laundry Detergent,,all stainlifters original detergent 66 Loads Laundry Detergent,10.61,1,Market Basket,100 fl oz,100 fl oz,DE0076.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters free clear detergent 24 Loads Laundry Detergent,,all stainlifters free clear detergent 24 Loads Laundry Detergent,3.74,1,Market Basket,36 fl oz,36 fl oz,DE0077.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters baby detergent 24 Loads Laundry Detergent,,all stainlifters baby detergent 24 Loads Laundry Detergent,3.74,1,Market Basket,36 fl oz,36 fl oz,DE0078.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters free clear odor relief 49 Loads Laundry Detergent,,all stainlifters free clear odor relief 49 Loads Laundry Detergent,10.61,1,Market Basket,88 fl oz,88 fl oz,DE0079.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters exhilarating laender 66 Loads Laundry Detergent,,all stainlifters exhilarating laender 66 Loads Laundry Detergent,10.61,1,Market Basket,100 fl oz,100 fl oz,DE0080.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters original detergent 100 Loads,,all stainlifters original detergent 100 Loads,13.11,1,Market Basket,150 fl oz,150 fl oz,DE0081.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters original 60 packs Laundry Detergent,,all stainlifters original 60 packs Laundry Detergent,13.11,1,Market Basket,39.7 oz,39.7 oz,DE0082.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters free clear Laundry Detergent,,all stainlifters free clear Laundry Detergent,3.74,1,Market Basket,19 pack,19 pack,DE0083.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all stainlifters free clear detergent 4 Loads9,,all stainlifters free clear detergent 4 Loads9,13.11,1,Market Basket,141 fl oz,141 fl oz,DE0084.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,all,all with Stainlifters free clear with OXI Laundry Detergent,,all with Stainlifters free clear with OXI Laundry Detergent,13.11,1,Market Basket,141 fl oz,141 fl oz,DE0085.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Laundry Detergent Liquid Clean Burst,,Arm & Hammer Laundry Detergent Liquid Clean Burst,6.24,1,Market Basket,75 fl oz,75 fl oz,4551.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Laundry Detergent Liquid Clean Burst,,Arm & Hammer Laundry Detergent Liquid Clean Burst,4.99,1,Market Basket,50 fl oz,50 fl oz,4563.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Plus the Power of OxiClean Stain Fighters Sparkling Waters Laundry Detergent,,Arm & Hammer Plus the Power of OxiClean Stain Fighters Sparkling Waters Laundry Detergent,4.99,1,Market Basket,43.75 fl oz,43.75 fl oz,DE0060.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,9.99,1,Market Basket,122.5 fl oz,122.5 fl oz,DE0061.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,4.99,1,Market Basket,43.75 fl oz,43.75 fl oz,DE0062.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Plus the Power of OxiClean Stain Fighters Fresh Scent Laundry Detergent,,Arm & Hammer Plus the Power of OxiClean Stain Fighters Fresh Scent Laundry Detergent,9.99,1,Market Basket,122.5 fl oz,122.5 fl oz,DE0063.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Sensitive Skin plus Fresh Scent 100 Loads Laundry Detergent,,Arm & Hammer Sensitive Skin plus Fresh Scent 100 Loads Laundry Detergent,9.99,1,Market Basket,150 fl oz,150 fl oz,DE0064.jpg,,15
