Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia All Natural House Cut Fries with Sea Salt,,Alexia All Natural House Cut Fries with Sea Salt,3.69,0,Market Basket,1.75 lb,1.75 lb,2593.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia All Natural Onion Rings,,Alexia All Natural Onion Rings,3.69,0,Market Basket,12 oz,12 oz,2595.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia Chipotle Seasoned Spicy Sweet Potato Fries,,Alexia Chipotle Seasoned Spicy Sweet Potato Fries,3.69,0,Market Basket,20 oz,20 oz,2594.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,"Alexia Fries, Seasoned, Waffle Cut",,"Alexia Fries, Seasoned, Waffle Cut",3.69,0,Market Basket,20 oz,20 oz,2592.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia Organic Yukon Select Fries With A Touch Of Sea Salt,,Alexia Organic Yukon Select Fries With A Touch Of Sea Salt,3.69,0,Market Basket,22 oz,22 oz,2591.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia Sweet Potato Fries with Sea Salt,,Alexia Sweet Potato Fries with Sea Salt,3.69,0,Market Basket,20 oz,20 oz,2588.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Alexia,Alexia Waffle Cut Sweet Potato Seasoned Fries,,Alexia Waffle Cut Sweet Potato Seasoned Fries,3.69,0,Market Basket,20 oz,20 oz,2590.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Applegate,Applegate Natural Chicken Nuggets,,Applegate Natural Chicken Nuggets,6.49,0,Market Basket,8 oz,8 oz,15809.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Applegate,Applegate Natural Gluten Free Chicken Nuggets,,Applegate Natural Gluten Free Chicken Nuggets,7.39,0,Market Basket,8 oz,8 oz,15819.jpg,,1
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Arby's,Arby's Seasoned Curly Fries,,Arby's Seasoned Curly Fries,2.49,0,Market Basket,22 oz,22 oz,15813.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Bagel Bites,Bagel Bites Cheese & Pepperoni Pizza Snacks,,Bagel Bites Cheese & Pepperoni Pizza Snacks,2.09,0,Market Basket,9 count,9 count,15823.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Birds Eye,Birds Eye Selects Whole Grain Brown Rice,,Birds Eye Selects Whole Grain Brown Rice,1.89,0,Market Basket,10 oz,10 oz,2612.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Birds Eye,Birds Eye Steamfresh Chefâ€™s Favorites Lightly Sauced & Vegetables with Tomato Parmesan Sauce,,Birds Eye Steamfresh Chefâ€™s Favorites Lightly Sauced & Vegetables with Tomato Parmesan Sauce,2.49,0,Market Basket,10.8 oz,10.8 oz,15821.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Birds Eye,Birds Eye Steamfresh Selects Long Grain White Rice,,Birds Eye Steamfresh Selects Long Grain White Rice,1.29,0,Market Basket,10 oz,10 oz,2610.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Birds Eye,Birds Eye Steamfresh Selects Sweet Peas,,Birds Eye Steamfresh Selects Sweet Peas,2.99,0,Market Basket,10 oz,10 oz,2428.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Birds Eye,Birds Eye Steamfresh Veggie Madeâ„¢ Original Riced Cauliflower,,Birds Eye Steamfresh Veggie Madeâ„¢ Original Riced Cauliflower,3.09,0,Market Basket,10 oz,10 oz,2611.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Golden Platter,"Golden Platter Chicken Nuggets, Gluten Free",,"Golden Platter Chicken Nuggets, Gluten Free",7.39,0,Market Basket,24 oz,24 oz,15830.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Green Giant,Green Giant Riced Veggies Cauliflower,,Green Giant Riced Veggies Cauliflower,3.09,0,Market Basket,12 oz,12 oz,15824.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Jose Ole,Jose Ole Chicken & Cheese Flour Tortillas Taquitos,,Jose Ole Chicken & Cheese Flour Tortillas Taquitos,5.79,0,Market Basket,15 x 1.5 oz,15 x 1.5 oz,15816.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Jose Ole,Jose Ole Taquitos Beef,,Jose Ole Taquitos Beef,5.79,0,Market Basket,20 x 1 oz,20 x 1 oz,15808.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Market Basket,Market Basket Fully Cooked Italian Style Meatballs,,Market Basket Fully Cooked Italian Style Meatballs,7.09,0,Market Basket,32 oz,32 oz,Market Basket.jpg,,1
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Market Basket,Market Basket Shredded Hash Browns,,Market Basket Shredded Hash Browns,1.89,0,Market Basket,30 oz,30 oz,Market Basket.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Classic Fries Straight Cut Potatoes,,McCain Classic Fries Straight Cut Potatoes,3.09,0,Market Basket,32 oz,32 oz,2587.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Crinkle Fries Crinkle Cut Potatoes,,McCain Crinkle Fries Crinkle Cut Potatoes,2.49,0,Market Basket,32 oz,32 oz,2581.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Mini Potato Hash Browns,,McCain Mini Potato Hash Browns,3.09,0,Market Basket,20 oz,20 oz,2579.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Savory Herbs & Spices Potato Wedges,,McCain Savory Herbs & Spices Potato Wedges,3.09,0,Market Basket,26 oz,26 oz,2584.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Seasoned Crinkle Potato Fries,,McCain Seasoned Crinkle Potato Fries,2.49,0,Market Basket,26 oz,26 oz,2582.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Seasoned Curly Fries,,McCain Seasoned Curly Fries,3.09,0,Market Basket,26 oz,26 oz,2585.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,McCain,McCain Smiles Potatoes,,McCain Smiles Potatoes,2.49,0,Market Basket,26 oz,26 oz,2578.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Monterey,El Monterey Beef & Cheese Taquitos,,El Monterey Beef & Cheese Taquitos,6.69,0,Market Basket,21 oz,21 oz,15825.jpg,,1
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Monterey,Pepperidge Farm Texas Toast Frozen Mozzarella & Monterey Jack Bread,,Pepperidge Farm Texas Toast Frozen Mozzarella & Monterey Jack Bread,2.49,0,Market Basket,9.5 oz,9.5 oz,15837.jpg,,18
