Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Bachman,Bachman Bite Size Mini Baked Pretzels,,Bachman Bite Size Mini Baked Pretzels,3.91,0,Market Basket,16 oz,16 oz,14862.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod 40% Reduced Fat Potato Chips,,Cape Cod 40% Reduced Fat Potato Chips,5.92,0,Market Basket,8 x 0.75 oz,8 x 0.75 oz,919.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size,,Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size,6.23,0,Market Basket,14 oz,14 oz,927.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Original Kettle Cooked Chips",6.23,0,Market Basket,14 oz,14 oz,915.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",,"Cape Cod Potato Chips, Reduced Fat Original Kettle Cooked Chips",6.23,0,Market Basket,14 oz,14 oz,914.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cape Cod,Cape Cod Party Size Waffle Cut Sea Salt,,Cape Cod Party Size Waffle Cut Sea Salt,6.23,0,Market Basket,14 oz,14 oz,bcs0005.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Crunchy Cheese Flavored Snacks,,Cheetos Crunchy Cheese Flavored Snacks,6.23,0,Market Basket,8.5 oz,8.5 oz,14850.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Puffs Cheese Flavored Snacks,,Cheetos Puffs Cheese Flavored Snacks,6.23,0,Market Basket,8 oz,8 oz,14823.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Cheetos,Cheetos Puffcorn Cheddar Flavored Snacks,,Cheetos Puffcorn Cheddar Flavored Snacks,6.23,0,Market Basket,7 oz,7 oz,14876.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Cool Ranch Tortilla Chips,,Doritos Cool Ranch Tortilla Chips,4.99,0,Market Basket,9.75 oz,9.75 oz,953.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Nacho Cheese Flavored Tortilla Chips,,Doritos Nacho Cheese Flavored Tortilla Chips,5.47,0,Market Basket,9.75 oz,9.75 oz,955.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Spicy Nacho Flavored Tortilla Chips,,Doritos Spicy Nacho Flavored Tortilla Chips,5.47,0,Market Basket,9.75 oz,9.75 oz,956.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Doritos,Doritos Spicy Sweet Chilli Tortilla Chips,,Doritos Spicy Sweet Chilli Tortilla Chips,5.47,0,Market Basket,9.75,9.75,bcs0009.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Eatsmart Snacks,Eatsmart Snacks Veggie Crisps 8 Snack Packs,,Eatsmart Snacks Veggie Crisps 8 Snack Packs,7.8,0,Market Basket,8 x 0.75 oz,8 x 0.75 oz,bcs0170.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's & Mix Variety Pack,,Frito Lay's & Mix Variety Pack,8.24,0,Market Basket,10 x 1 oz,10 x 1 oz,14827.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's Classic Mix Party Size 28 Pack,,Frito Lay's Classic Mix Party Size 28 Pack,17.17,0,Market Basket,28 x 1 oz,28 x 1 oz,bcs0012.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Frito Lay's,Frito Lay's Flavor Mix Party Size 28 Pack,,Frito Lay's Flavor Mix Party Size 28 Pack,17.17,0,Market Basket,28 x 1 oz,28 x 1 oz,bcs0013.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Good Health,Good Health Veggie Stix Sea Salt,,Good Health Veggie Stix Sea Salt,7.8,0,Market Basket,18 oz,18 oz,bcs0173.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay's Barbecue Potato Chips Party Size,,Lay's Barbecue Potato Chips Party Size,5.47,0,Market Basket,12.5 oz,12.5 oz,878.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay's Classic Potato Chips Party Size,,Lay's Classic Potato Chips Party Size,5.47,0,Market Basket,13 oz,13 oz,873.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay's Potato Chips Lightly Salted Party Size,,Lay's Potato Chips Lightly Salted Party Size,5.47,0,Market Basket,12.5 oz,12.5 oz,881.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay's Sour Cream And Onion Flavored Potato Chips Party Size,,Lay's Sour Cream And Onion Flavored Potato Chips Party Size,5.47,0,Market Basket,12.5 oz,12.5 oz,871.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay's Wavy Original Potato Chips Party Size,,Lay's Wavy Original Potato Chips Party Size,5.47,0,Market Basket,13 oz,13 oz,874.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Lay's,Lay'S Dill Pickle Potato Chips Party Size,,Lay'S Dill Pickle Potato Chips Party Size,5.47,0,Market Basket,13 oz,13 oz,bcs0017.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Market Basket,Market Basket Restaurant Style Tortilla Chips,,Market Basket Restaurant Style Tortilla Chips,3.13,0,Market Basket,12.5 oz,12.5 oz,Market Basket.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Pringles,Pringles Original Lunch 12 Pack,,Pringles Original Lunch 12 Pack,7.8,0,Market Basket,12 x 0.67 oz,12 x 0.67 oz,bcs0197.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Pringles,Pringles Sour Cream Lunch 12 Pack,,Pringles Sour Cream Lunch 12 Pack,7.8,0,Market Basket,12 x 0.67 oz,12 x 0.67 oz,bcs0198.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Rold Gold,Rold Gold Sticks Pretzels,,Rold Gold Sticks Pretzels,5.14,0,Market Basket,1 lb,1 lb,14888.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Rold Gold,Rold Gold Tiny Twists Original Pretzels,,Rold Gold Tiny Twists Original Pretzels,5.14,0,Market Basket,16 oz,16 oz,14834.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Rold Gold,Rold Gold Pretzel Thins,,Rold Gold Pretzel Thins,5.14,0,Market Basket,1 lb,1 lb,bcs0027.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Smartfood,Smartfood White Cheddar,,Smartfood White Cheddar,6.23,0,Market Basket,10 x 0.62 oz,10 x 0.62 oz,bcs0038.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snack Factory,"Snack Factory Pretzel Crisps, Original, Party Size",,"Snack Factory Pretzel Crisps, Original, Party Size",5.47,0,Market Basket,14 oz,14 oz,14841.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snack Factory,"Snack Factory Pretzel Crisps, Original, Multi Pack",,"Snack Factory Pretzel Crisps, Original, Multi Pack",7.66,0,Market Basket,10 x 1 oz,10 x 1 oz,bcs0039.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snyder's of Hanover,Snyder's of Hanover Family Size Mini Pretzels,,Snyder's of Hanover Family Size Mini Pretzels,3.91,0,Market Basket,16 oz,16 oz,892.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snyder's of Hanover,"Snyder's of Hanover Pretzels, Olde Tyme Pretzels",,"Snyder's of Hanover Pretzels, Olde Tyme Pretzels",3.91,0,Market Basket,16 oz,16 oz,896.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snyder's of Hanover,"Snyder's of Hanover Pretzels, Sourdough Hard Pretzels",,"Snyder's of Hanover Pretzels, Sourdough Hard Pretzels",3.91,0,Market Basket,16 oz,16 oz,906.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snyder's of Hanover,Snyder's of Hanover Snaps Pretzels,,Snyder's of Hanover Snaps Pretzels,3.91,0,Market Basket,16 oz,16 oz,895.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Snyder's of Hanover,Snyder's of Hanover Sticks The Pounder Pretzels,,Snyder's of Hanover Sticks The Pounder Pretzels,3.91,0,Market Basket,16 oz,16 oz,904.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Stacy'S,Stacy'S Baked Pita Chips Simply Naked Party Size,,Stacy'S Baked Pita Chips Simply Naked Party Size,7.02,0,Market Basket,18 oz,18 oz,931.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Tostitos,Tostitos Crispy Rounds Tortilla Chips,,Tostitos Crispy Rounds Tortilla Chips,5.47,0,Market Basket,13 oz,13 oz,969.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Tostitos,Tostitos Hint Of Lime Flavored Tortilla Chips,,Tostitos Hint Of Lime Flavored Tortilla Chips,5.47,0,Market Basket,13 oz,13 oz,965.jpg,,0,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Chips & Pretzels,Tostitos,Tostitos Original Restaurant Style Tortilla Chips Party Size,,Tostitos Original Restaurant Style Tortilla Chips Party Size,6.23,0,Market Basket,18 oz,18 oz,967.jpg,,0,,,,,,,
