Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Meat & Seafood,Frozen Meat & Seafood,Bacon,Monterey,"El Monterey Egg, Bacon & Cheese Breakfast Taquitos",,"El Monterey Egg, Bacon & Cheese Breakfast Taquitos",6.99,0,Market Basket,21 oz,21 oz,15795.jpg,,1
Meat & Seafood,Frozen Meat & Seafood,Beef Products,Market Basket,Market Basket Beef Shaved Steak,,Market Basket Beef Shaved Steak,6.31,0,Market Basket,Approx: 1.09 lb at $5.79/lb,Approx: 1.09 lb at $5.79/lb,Market Basket.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Birds Eye,Birds Eye Voila! Three Cheese Chicken,,Birds Eye Voila! Three Cheese Chicken,4.89,0,Market Basket,21 oz,21 oz,16035.jpg,,19
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Harvestland,Harvestland Boneless Chicken Breasts,,Harvestland Boneless Chicken Breasts,12.19,0,Market Basket,2.25 lb,2.25 lb,16040.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,On Cor,On Cor Clear Bags Chicken Patties,,On Cor Clear Bags Chicken Patties,5.89,0,Market Basket,35 oz,35 oz,16043.jpg,,1
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Boneless Chicken Breasts,,Perdue Boneless Chicken Breasts,8.59,0,Market Basket,2 lb,2 lb,2887.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Breaded Chicken Breast Tenders,,Perdue Breaded Chicken Breast Tenders,8.19,0,Market Basket,1.81 lb,1.81 lb,2892.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Carved Chicken BreastRotisserie Seasoned,,Perdue Carved Chicken BreastRotisserie Seasoned,4.89,0,Market Basket,0.56 lb,0.56 lb,2888.jpg,,21
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Chicken Breast Patties,,Perdue Chicken Breast Patties,6.09,0,Market Basket,1.8 lb,1.8 lb,2889.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Honey BBQ Style Boneless Chicken Wyngz,,Perdue Honey BBQ Style Boneless Chicken Wyngz,7.99,0,Market Basket,1.63 lb,1.63 lb,2895.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Perdue,Perdue Sweet Chili Glazed Chicken Chunks,,Perdue Sweet Chili Glazed Chicken Chunks,6.09,0,Market Basket,26 lb,26 lb,2893.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Pilgrim's,Pilgrim's Chicken Breast Nuggets,,Pilgrim's Chicken Breast Nuggets,5.49,0,Market Basket,29 oz,29 oz,16058.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Tyson,"Tyson Cooked Grilled Chicken Breast Strips, Frozen",,"Tyson Cooked Grilled Chicken Breast Strips, Frozen",8.11,0,Market Basket,22 oz,22 oz,2910.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Tyson,"Tyson Fully Cooked Chicken Patties, Frozen",,"Tyson Fully Cooked Chicken Patties, Frozen",6.86,0,Market Basket,26 oz,26 oz,2909.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Weaver Fully Cooked,"Weaver Fully Cooked Chicken Breast Fun Nuggets, 1.5 lb. (Frozen)",,"Weaver Fully Cooked Chicken Breast Fun Nuggets, 1.5 lb. (Frozen)",4.89,0,Market Basket,26 oz,26 oz,16036.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Weaver Fully Cooked,"Weaver Fully Cooked Chicken Breast Patties, 1.62 lb. (Frozen)",,"Weaver Fully Cooked Chicken Breast Patties, 1.62 lb. (Frozen)",4.89,0,Market Basket,26 oz,26 oz,16042.jpg,,22
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Willow Tree Poultry Farm,Willow Tree Poultry Farm Chicken Pie Premium White Meat With Classic Vegetables,,Willow Tree Poultry Farm Chicken Pie Premium White Meat With Classic Vegetables,2.49,0,Market Basket,8 oz,8 oz,16032.jpg,,18
Meat & Seafood,Frozen Meat & Seafood,Chicken Products,Winter Creek Farms,Winter Creek Farms Chicken Wings Portions,,Winter Creek Farms Chicken Wings Portions,14.09,0,Market Basket,5 lb,5 lb,No Image.jpg,,18
