Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Fresh Produce,Fresh Fruits,Apple,Market Basket,Bag Red Delicious Apples,,Bag Red Delicious Apples,6.99,0,Market Basket,5 lb,5 lb,f2.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Braeburn Apples,,Braeburn Apples,2,0,Market Basket,1 lb,1 lb,f3.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Cortland Apples Bag- 3lbs,,Cortland Apples Bag- 3lbs,3.84,0,Market Basket,1 lb,1 lb,f5.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Empire Apples,,Empire Apples,1.64,0,Market Basket,1 lb,1 lb,f6.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Golden Delicious Apples,,Golden Delicious Apples,0.75,0,Market Basket,1 count,1 count,FP22.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Granny Smith Apples,,Granny Smith Apples,0.75,0,Market Basket,1 count,1 count,14192.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Jonathan Apple Bag,,Jonathan Apple Bag,3.78,0,Market Basket,3 lb,3 lb,FP24.jpg,,20
Fresh Produce,Fresh Fruits,Apple,Market Basket,Red Delicious Apple Package (Approx: 5 CT),,Red Delicious Apple Package (Approx: 5 CT),3.78,0,Market Basket,1 pack,1 pack,14227.jpg,,20
Fresh Produce,Fresh Fruits,Avacado,Market Basket,Hass Avocado,,Hass Avocado,1.69,0,Market Basket,1 count,1 count,14181.jpg,,20
Fresh Produce,Fresh Fruits,Banana,Market Basket,Banana Bunches (Approx: 3 Count),,Banana Bunches (Approx: 3 Count),1.09,0,Market Basket,1 lb,1 lb,f16.jpg,,20
Fresh Produce,Fresh Fruits,Banana,Market Basket,Banana,,Banana,0.28,0,Market Basket,1 count,1 count,14180.jpg,,20
Fresh Produce,Fresh Fruits,Blackberries,Driscoll's,Driscoll's Blackberries,,Driscoll's Blackberries,4.24,0,Market Basket,6 oz container,6 oz container,5.jpg,,20
Fresh Produce,Fresh Fruits,Blackberries,Market Basket,Special Fruits Blackberries,,Special Fruits Blackberries,4.49,0,Market Basket,6 oz,6 oz,f78.jpg,,20
Fresh Produce,Fresh Fruits,Blackberries,Sunbelle,Sunbelle Blackberries,,Sunbelle Blackberries,4.19,0,Market Basket,6 oz container,6 oz container,11.jpg,,20
Fresh Produce,Fresh Fruits,Blueberries,Market Basket,Blueberries Package,,Blueberries Package,5.62,0,Market Basket,1 pint container,1 pint container,14184.jpg,,20
Fresh Produce,Fresh Fruits,Blueberries,Market Basket,Fresh Blueberries,,Fresh Blueberries,3.74,0,Market Basket,6 oz,6 oz,14283.jpg,,20
Fresh Produce,Fresh Fruits,Blueberries,Market Basket,Global Growers Marketing Blueberries,,Global Growers Marketing Blueberries,4.24,0,Market Basket,1 pint container,1 pint container,14222.jpg,,20
Fresh Produce,Fresh Fruits,Cantaloupe,Market Basket,Cantaloupe Chunks,,Cantaloupe Chunks,4.93,0,Market Basket,1 lb,1 lb,FP12.jpg,,20
Fresh Produce,Fresh Fruits,Cantaloupe,Market Basket,Cantaloupe Melon,,Cantaloupe Melon,2.86,0,Market Basket,1 count,1 count,14197.jpg,,20
Fresh Produce,Fresh Fruits,Clementine,Market Basket,Cutie Clementines,,Cutie Clementines,7.14,0,Market Basket,3 lb,3 lb,f22.jpg,,20
Fresh Produce,Fresh Fruits,Clementine,Market Basket,Peelz Clementines,,Peelz Clementines,7.14,0,Market Basket,3 lb,3 lb,f23.jpg,,20
Fresh Produce,Fresh Fruits,Clementine,Sunkist,Sunkist Clementine,,Sunkist Clementine,7,0,Market Basket,3 lb bag,3 lb bag,10.jpg,,20
Fresh Produce,Fresh Fruits,Coconut,Market Basket,Coconut in Mesh Bag,,Coconut in Mesh Bag,2.74,0,Market Basket,1 count,1 count,f24.jpg,,20
Fresh Produce,Fresh Fruits,Dates,Market Basket,Medjool Dates,,Medjool Dates,8.11,0,Market Basket,1 count,1 count,14230.jpg,,20
Fresh Produce,Fresh Fruits,Gooseberries,Market Basket,Gooseberries,,Gooseberries,4.94,0,Market Basket,6 oz,6 oz,f26.jpg,,20
