Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Atkins,Atkins Protein-Rich Shake Strawberry,,Atkins Protein-Rich Shake Strawberry,9.19,1,Market Basket,4 x 11 fl oz,4 x 11 fl oz,6729.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Atkins,Atkins Shake French Vanilla,,Atkins Shake French Vanilla,9.19,1,Market Basket,4 x 11 fl oz,4 x 11 fl oz,6731.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Atkins,Atkins Shake Milk Chocolate Delight,,Atkins Shake Milk Chocolate Delight,4.93,1,Market Basket,4 x 11 fl oz,4 x 11 fl oz,6728.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Boost,Boost HIGH PROTEIN Very Vanilla,,Boost HIGH PROTEIN Very Vanilla,11.26,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6739.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Boost,"Boost Original Complete Nutritional Drink, Rich Chocolate",,"Boost Original Complete Nutritional Drink, Rich Chocolate",11.26,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6740.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Boost,Boost Original Very Vanilla,,Boost Original Very Vanilla,11.26,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6741.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Boost,Boost Plus Rich Chocolate,,Boost Plus Rich Chocolate,13.33,1,Market Basket,48 fl oz,48 fl oz,6748.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Boost,Boost Plus Very Vanilla,,Boost Plus Very Vanilla,13.33,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6749.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Nutrition Shake,,Ensure Nutrition Shake,14.02,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6720.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Original Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,,Ensure Original Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,14.02,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6719.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Original Nutrition Shake Strawberry Ready-to-Drink Bottles,,Ensure Original Nutrition Shake Strawberry Ready-to-Drink Bottles,12.64,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6723.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Original Nutrition Shake Vanilla Ready-to-Drink Bottles,,Ensure Original Nutrition Shake Vanilla Ready-to-Drink Bottles,12.64,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6718.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Plus Milk Chocolate,,Ensure Plus Milk Chocolate,14.02,1,Market Basket,6 count,6 count,No Image.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Plus Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,,Ensure Plus Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,14.02,1,Market Basket,48 fl oz,48 fl oz,6722.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Ensure,Ensure Plus Nutrition Shake Strawberry Ready-to-Drink Bottles,,Ensure Plus Nutrition Shake Strawberry Ready-to-Drink Bottles,12.64,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6721.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Glucerna,Glucerna Diabetes Nutritional Shake,,Glucerna Diabetes Nutritional Shake,14.02,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6743.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Glucerna,Glucerna Diabetes Nutritional Shake,,Glucerna Diabetes Nutritional Shake,14.02,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6744.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Glucerna,Glucerna Diabetes Nutritional Shake Rich Chocolate Ready-To-Drink Bottles,,Glucerna Diabetes Nutritional Shake Rich Chocolate Ready-To-Drink Bottles,14.02,1,Market Basket,6 x 8 fl oz,6 x 8 fl oz,6742.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,MET-Rx,MET-Rx Protein Plus RTD 51 Creamy Vanilla,,MET-Rx Protein Plus RTD 51 Creamy Vanilla,4.24,1,Market Basket,15 fl oz,15 fl oz,17857.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Muscle Milk,Muscle Milk Banana Dairy Substitute - Shelf Stable,,Muscle Milk Banana Dairy Substitute - Shelf Stable,4.24,1,Market Basket,14 fl oz,14 fl oz,6735.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Muscle Milk,Muscle Milk Chocolate Dairy Drinks - Chilled,,Muscle Milk Chocolate Dairy Drinks - Chilled,4.24,1,Market Basket,14 fl oz,14 fl oz,6733.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Muscle Milk,"Muscle Milk Protein Shake, Non Dairy, Knockout Chocolate",,"Muscle Milk Protein Shake, Non Dairy, Knockout Chocolate",4.24,1,Market Basket,14 fl oz,14 fl oz,6734.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Muscle Milk,Muscle Milk Vanilla Cream Dairy Substitute - Shelf Stable,,Muscle Milk Vanilla Cream Dairy Substitute - Shelf Stable,4.24,1,Market Basket,14 fl oz,14 fl oz,6732.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials  Classic French Vanilla Nutritional Drink,050000415694,,8.11,0,Market Basket,6 x 10 fl oz ,6 x 10 fl oz ,X3483.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials Rich Milk Chocolate Nutritional Drink,050000415175,,8.11,0,Market Basket,6 x 10  fl oz ,6 x 10  fl oz ,X3484.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials Classic French Vanilla High Protien,050000407378,,8.74,0,Market Basket,6 x 10  fl oz ,6 x 10  fl oz ,X3485.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials High Protien Rich Milk Chocolate,050000406951,,8.74,0,Market Basket,6 x 10 fl oz ,6 x 10 fl oz ,X3486.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials Light Start Rich Milk Chocolate ,050000540426,,6.24,0,Market Basket,6 x 10  fl oz ,6 x 10  fl oz ,X3487.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation,Carnation Breakfast Essentials Classic French Vanilla,050000530625,,6.24,0,Market Basket,10 x 1.26  oz,10 x 1.26  oz,X3488.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Carnation ,Carnation Breakfast Essential Strawberry Sensation ,050000504909,,6.24,0,Market Basket,10 x 1.26 oz,10 x 1.26 oz,X3489.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Kellogg's ,Kellogg's Special K Protien Shake French Vanilla,038000432576,,7.49,0,Market Basket,4 x 10 fl oz ,4 x 10 fl oz ,X3480.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Kellogg's ,Kellogg's Special K Protion Shakes Strawberry Cereal ,038000431982,,7.49,0,Market Basket,4 x 10  fl oz ,4 x 10  fl oz ,X3481.jpg,,5,,,,,,,
Personal Care,Vitamins & Proteins,Protien Drinks,Kellogg's ,Kellog's Special K Shake Rich Chocolate Cereal ,038000528910,,7.49,0,Market Basket,4 x 10  fl oz ,4 x 10  fl oz ,X3482.jpg,,5,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Protein Rich Meal Bar Chocolate Chip Cookie Dough,,Atkins Protein Rich Meal Bar Chocolate Chip Cookie Dough,7.39,0,Market Basket,5 x 2.12 oz,5 x 2.12 oz,17653.jpg,,13,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Protein Rich Meal Bar Peanut Butter Granola,,Atkins Protein Rich Meal Bar Peanut Butter Granola,9.19,0,Market Basket,8.5 oz,8.5 oz,17654.jpg,,5,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Snack Bar Cranberry Almond,,Atkins Snack Bar Cranberry Almond,7.39,0,Market Basket,5 x 1.23 oz,5 x 1.23 oz,17672.jpg,,5,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Amrita,Amrita Dark Chocolate Crunch Protein Bars,,Amrita Dark Chocolate Crunch Protein Bars,1.89,0,Market Basket,2.12 oz,2.12 oz,No Image.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Amrita,Amrita Health Foods Bar Cranberry Raisin,,Amrita Health Foods Bar Cranberry Raisin,1.89,0,Market Basket,2 oz,2 oz,15268.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Advantage Protein Rich Meal Bar Chocolate Peanut Butter Bar,,Atkins Advantage Protein Rich Meal Bar Chocolate Peanut Butter Bar,8.59,0,Market Basket,5 x 2.1 oz,5 x 2.1 oz,15200.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Endulge Chocolate Coconut Treat Bars,,Atkins Endulge Chocolate Coconut Treat Bars,6.09,0,Market Basket,5 ct,5 ct,15213.jpg,,13,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Endulge Treat Caramel Nut Chew Bar,,Atkins Endulge Treat Caramel Nut Chew Bar,6.09,0,Market Basket,5 ct,5 ct,15212.jpg,,13,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Granola Bar Chocolate Chip,,Atkins Granola Bar Chocolate Chip,8.59,0,Market Basket,5 ct,5 ct,15207.jpg,,13,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Atkins,Atkins Snack Bar Peanut Butter Fudge Crisp 5 CT,,Atkins Snack Bar Peanut Butter Fudge Crisp 5 CT,7.39,0,Market Basket,5 ct,5 ct,15206.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Balance Bar,Balance Bar Nutrition Bar Caramel Nut Blast,,Balance Bar Nutrition Bar Caramel Nut Blast,1.29,0,Market Basket,1.76 oz,1.76 oz,15220.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Balance Bar,Balance Bar Nutrition Bar Mocha Chip,,Balance Bar Nutrition Bar Mocha Chip,1.29,0,Market Basket,1.76 oz,1.76 oz,15251.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Balance Bar,Balance Bar Nutrition Bar Yogurt Honey Peanut,,Balance Bar Nutrition Bar Yogurt Honey Peanut,1.29,0,Market Basket,1.76 oz,1.76 oz,15216.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Balance Bar,Balance Bar Original Nutrition Bar Cookie Dough,,Balance Bar Original Nutrition Bar Cookie Dough,1.29,0,Market Basket,1.76 oz,1.76 oz,15209.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Cherry Pie,,Larabar Cherry Pie,1.25,0,Market Basket,1.7 oz,1.7 oz,1313.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Fruit & Nut Food Bar Peanut Butter Cookie Bar,,Larabar Fruit & Nut Food Bar Peanut Butter Cookie Bar,1.25,0,Market Basket,1.7 oz,1.7 oz,1309.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Gluten Free Cashew Cookie Fruit & Nut Bars,,Larabar Gluten Free Cashew Cookie Fruit & Nut Bars,24.39,0,Market Basket,1.7 oz,1.7 oz,1315.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Gluten Free Peanut Butter Chocolate Chip Fruit & Nut Bars,,Larabar Gluten Free Peanut Butter Chocolate Chip Fruit & Nut Bars,1.59,0,Market Basket,1.6 oz,1.6 oz,1311.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Fruit & Nut Food Bar Apple Pie Bar,,Larabar Fruit & Nut Food Bar Apple Pie Bar,1.25,0,Market Basket,1.6 oz,1.6 oz,1310.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,Larabar Fruit & Nut Food Bar Chocolate Coconut Chew,,Larabar Fruit & Nut Food Bar Chocolate Coconut Chew,1.25,0,Market Basket,1.8 oz,1.8 oz,1314.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Larabar,"Larabar Gluten Free Bar, Carrot Cake",,"Larabar Gluten Free Bar, Carrot Cake",1.25,0,Market Basket,1.6 oz,1.6 oz,1312.jpg,,3,,,,,,,
