Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Spice Level,Aisle No.,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Cake Mate,Cake Mate Sugar Red,,Cake Mate Sugar Red,1.89,0,Market Basket,8 oz,8 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Hershey's,Hershey's Shell Topping Chocolate Flavor,,Hershey's Shell Topping Chocolate Flavor,2.99,0,Market Basket,7.25 oz,7.25 oz,,8,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Hershey's,Hershey's Syrup Indulgent Caramel Flavor,,Hershey's Syrup Indulgent Caramel Flavor,2.79,0,Market Basket,22 oz,22 oz,,8,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Chocolate Syrup,,Market Basket Chocolate Syrup,1.89,0,Market Basket,22 oz,22 oz,,8,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Jumbo Topping Cherries,,Market Basket Jumbo Topping Cherries,1.89,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Lite Whipped Topping,,Market Basket Lite Whipped Topping,1.29,0,Market Basket,8 oz,8 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Maraschino Cherries,,Market Basket Maraschino Cherries,2.49,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Salad Cherries,,Market Basket Salad Cherries,1.89,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket,Market Basket Strawberry Syrup,,Market Basket Strawberry Syrup,1.89,0,Market Basket,22 oz,22 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Mrs. Richardson's,Mrs. Richardson's Toppings Butterscotch Caramel,,Mrs. Richardson's Toppings Butterscotch Caramel,3.09,0,Market Basket,17 oz,17 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Reese's,Reese's Peanut Butter Topping,,Reese's Peanut Butter Topping,2.99,0,Market Basket,7 oz,7 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Skinny Cow,Skinny Cow Vanilla Gone Wild Vanilla Ice Cream Sandwich,,Skinny Cow Vanilla Gone Wild Vanilla Ice Cream Sandwich,4.29,0,Market Basket,6 x 4 fl oz,6 x 4 fl oz,,21,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Bowls,Joy ,Joy Enjoy-a Bowls ,072092612126,,3.13,0,Market Basket,4 oz,4 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Joy ,Ice Cream Cups ,072092334127,,2.49,0,Market Basket,1.75 oz,1.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Joy ,Joy Waffles Cone ,072092012124,,3.13,0,Market Basket,7 oz,7 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Joy ,Joy Suger Cones,072092324128,,2.50,0,Market Basket,5 oz,5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Joy ,Joy Jumbo Cups ,072092424125,,2.50,0,Market Basket,2.75 oz,2.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Joy ,Joy Ice Cream Cups ,072092024240,,2.50,0,Market Basket,3.5 oz,3.5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Joy ,Joy Ice cream Cups ,072092124124,,3.13,0,Market Basket,1.75 oz,1.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Joy ,Joy Ice cream Cups ,072092334127,,2.49,0,Market Basket,1.75 oz,1.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Keebler,Keebler Cream Cones ,030100300151,,3.13,0,Market Basket,3 oz,3 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Keebler,Keebler Sugar Cones ,030100298359,,3.13,0,Market Basket,4 oz,4 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Keebler,Keebler Waffle Cones ,030100120056,,3.13,0,Market Basket,5 oz,5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Keebler,Keebler Fudge-Dipped Cones ,030100120964,,3.13,0,Market Basket,3.25 oz,3.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cups,Market Basket ,Market Basket Ice Cream Cake Cups,049705117095,,1.24,0,Market Basket,1.75 oz,1.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,"Cups, Cones & Bowls",Cones,Market Basket ,Market Basket Ice Cream Sugar Cones,049705117088,,1.61,0,Market Basket,5 oz,5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Market Basket ,Market Basket ice Cream Toppers ,049705019900,,2.86,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Mrs. Richardson's,Mrs Richardson's Hot fudge ,072980002404,,3.13,0,Market Basket,15.5 oz,15.5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Reese's,Reese's Peanut Butter Topping ,03408706,,2.99,0,Market Basket,7 oz,7 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Robert  Rothschid ,Robert Rothschid Raspberry Chocolate ,011246657538,,5.61,0,Market Basket,13.1 oz,13.1 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Roland ,Roland Classic Style Melba Sauce ,041224871823,,5.36,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Sander's ,Sander's Dessert Topping  Classic Carmel ,035900171147,,4.99,0,Market Basket,10 oz,10 oz,,20,,,,,,,
