"Product Id","Category","Sub Category","Type","Brand","Product Name","UPC Code","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"31228","Frozen Food","Frozen Breakfast","Frozen Burrito","El Monterey","El Monterey Beef and Bean Burritos 8 pack FAMILY SIZE","071007018688","El Monterey Beef and Bean Burritos 8 pack FAMILY SIZE","4.49","0.0","Market Basket","32 oz","32 oz","X4834.jpg","","19"
"9698","Frozen Food","Frozen Pizza","Frozen Pizza","Dr. Oetker","Dr. Oetker Virtuoso Pizza Thin + Crispy Crust Vegetable Medley","","Dr. Oetker Virtuoso Pizza Thin + Crispy Crust Vegetable Medley","4.89","0.0","Market Basket","13.6 oz","13.6 oz","16024.jpg","","19"
"14482","Beverages & Juices","Tea, Coffee, Milk & Coconut Water","Coffee","StarBucks","Starbucks Frappuccino Mocha Chilled Coffee Drink","","Starbucks Frappuccino Mocha Chilled Coffee Drink","7.39","0.0","Market Basket","9.5 fl oz","9.5 fl oz","3300.jpg","","17"
"14373","Breakfast & Dairy","Tea & Coffee","Coffee","Folgers ","Folgers Coffee, Classic Roast, Medium, Ground, Jar","","Folgers Coffee, Classic Roast, Medium, Ground, Jar","6.09","0.0","Market Basket","11.3 oz","11.3 oz","3343.jpg","","8"
"14794","Personal Care","Body Wash, Soap & Hair Care","Hair Care","Suave","Suave Shampoo Deep Moisture","","Suave Shampoo Deep Moisture","2.86","1.0","Market Basket","12.6 oz","12.6 oz","6561.jpg","","13"
"33582","Pasta & Sauces","Gluten Free Pasta","Pasta Sauce","Newman's Own","Newman's Own Pasta Sauce Roasted Garlic Gluten Free No Sugar Added","020662006158","Newman's Own Pasta Sauce Roasted Garlic Gluten Free No Sugar Added","3.13","0.0","Market Basket","24 oz","24 oz","X1470.jpg","","4"
"30683","Meat & Seafood","Packaged Meat & Seafood","Pepperoni","Bridgford ","Bridgford Turkey Pepperoni Gluten Free","047500011136","Bridgford Turkey Pepperoni Gluten Free","4.38","0.0","Market Basket","4 oz","4 oz","X1310.jpg","","4"
"31360","Pasta & Sauces","Gluten Free Pasta","Pasta Sauce","Francesco Rinaldi","Francesco Rinaldi Organic Pasta Sauce Pomodoro Gluten Free","077644901918","Francesco Rinaldi Organic Pasta Sauce Pomodoro Gluten Free","3.09","0.0","Market Basket","24 oz","24 oz","X1481.jpg","","4"
"32634","Cooking Needs","Rice & Grains","Grains, Rice & Dried Goods","Lundberg Family Farms","LundBerg Organic Sprouted Brown Basmati Rice Gluten Free","073416003309","LundBerg Organic Sprouted Brown Basmati Rice Gluten Free","4.99","0.0","Market Basket","16 oz","16 oz","X1104.jpg","","4"
"8768","Condiments & Dressings","Preserved Dips & Spreads","Preserved Dips & Salsa","Newman's Own","Newman's Own Mild Salsa Mild Chunky","","Newman's Own Mild Salsa Mild Chunky","2.49","0.0","Market Basket","16 oz","16 oz","1987.jpg","","0"
"30778","Pasta & Sauces","Instant Pasta","Instant Pasta","Campbell's","Campbell's Sphagettios plus Clacium Pasta in Tomato & cheese Sauce","051000233189","Campbell's Sphagettios plus Clacium Pasta in Tomato & cheese Sauce","1.25","0.0","Market Basket","15.8 oz","15.8 oz","X1255.jpg","","4"
"35204","Breakfast & Dairy","Dairy & Eggs","Yogurt","Yoplait","Yoplait light Now More Fruit Boston Cream Pie ","","Yoplait light Now More Fruit Boston Cream Pie ","0.81","0.0","Market Basket","6 oz","6 oz","X938.jpg","","1"
"9992","Frozen Food","Ice Cream & Ice","Ice Cream & Ice","Brigham's Ice Cream","Brigham's Ice Cream Mocha Chip","","Brigham's Ice Cream Mocha Chip","4.79","0.0","Market Basket","1 quart","1 quart","16119.jpg","","21"
"30806","Beverages & Juices","Juices & Refrigerated Drinks","Juice & Nectars","Caprisun ","Caprisun Organic Fruit Punch","087684008713","Caprisun Organic Fruit Punch","3.24","0.0","Market Basket","10 x 6 fl oz","10 x 6 fl oz","X3092.jpg","","10"
"8040","Cooking Needs","Canned Food","Soup, Broth & Bouillon","Market Basket","Market Basket Beef Cooking Stock","","Market Basket Beef Cooking Stock","2.49","0.0","Market Basket","32 oz","32 oz","Market Basket.jpg","","2"
"8443","Condiments & Dressings","Marinades, Ketchup & Sauces","Marinades & Meat Preparation","McCormick","McCormick Bag 'n Season Original Chicken Cooking & Seasoning Mix","","McCormick Bag 'n Season Original Chicken Cooking & Seasoning Mix","1.29","0.0","Market Basket","1.25 oz","1.25 oz","15566.jpg","","9"
