"Product Id","Category","Sub Category","Type","Brand","Product Name","UPC Code","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"6094","Beverages & Juices","Soft Drinks & Seltzers","Soft Drinks","Coca-Cola","Coca Cola Original Taste Can","","Coca Cola Original Taste Can","4.16","0.0","Market Basket","6 x 12 fl oz","6 x 12 fl oz","No Image.jpg","","17"
"506","Laundry & Paper Goods","Laundry","Laundry Detergent","Tide","Tide Pods Fresh Coral Blast Laundry Detergent","","Tide Pods Fresh Coral Blast Laundry Detergent","16.24","1.0","Market Basket","42 pack","42 pack","No Image.jpg","","15"
"4336","Meat & Seafood","Meat & Seafood Counter","Salmon","Fresh","Fresh Wild Salmon","","Fresh Wild Salmon","6.29","0.0","Market Basket","1 lb","1 lb","No Image.jpg","","22"
"531","Laundry & Paper Goods","Laundry","Scent Booster","Arm & Hammer","Arm & Hammer Clean Scentsations Scent booster Purifying Waters","","Arm & Hammer Clean Scentsations Scent booster Purifying Waters","4.99","1.0","Market Basket","24 oz","24 oz","No Image.jpg","","15"
"5975","Beverages & Juices","Cocoa & Drink Mixes","Cocoa & Drink Mixes","Master of Mixes","Master of Mixes Handcrafted Strawberry Colada Mixer","","Master of Mixes Handcrafted Strawberry Colada Mixer","4.99","0.0","Market Basket","33.8 fl oz","33.8 fl oz","No Image.jpg","","17"
"5291","Chips, Cookies & Snacks","Chips & Fruit Snacks","Chips & Pretzels","Pringles","Pringles Sour Cream Lunch 12 Pack","","Pringles Sour Cream Lunch 12 Pack","7.8","0.0","Market Basket","12 x 0.67 oz","12 x 0.67 oz","No Image.jpg","","0"
"4584","Meat & Seafood","Lunch Meat","Turkey","Deli","Deli Honey Turkey","","Deli Honey Turkey","5.49","0.0","Market Basket","0.59 lb","0.59 lb","No Image.jpg","","22"
"5264","Chips, Cookies & Snacks","Chips & Fruit Snacks","Chips & Pretzels","Good Health","Good Health Veggie Straws Aged White Cheddar","","Good Health Veggie Straws Aged White Cheddar","4.69","0.0","Market Basket","6.25 oz","6.25 oz","No Image.jpg","","0"
"5138","Chips, Cookies & Snacks","Cookies & Crackers","Cookies & Cakes","Pepperidge Farm","Pepperridge Farm Verona Strawberry Cookies","","Pepperridge Farm Verona Strawberry Cookies","4.69","0.0","Market Basket","6.75 oz","6.75 oz","No Image.jpg","","6"
"5164","Chips, Cookies & Snacks","Cookies & Crackers","Crackers","Carr's","Carr's Rosemarry Carckers Rich & Savory","","Carr's Rosemarry Carckers Rich & Savory","3.91","0.0","Market Basket","5 oz","5 oz","No Image.jpg","","6"
"5996","Beverages & Juices","Energy & Sports Drinks","Energy & Sports Drinks","Monster","Monster Energy Low Carb 4 Pack","","Monster Energy Low Carb 4 Pack","8.74","0.0","Market Basket","4 x 16 fl oz","4 x 16 fl oz","No Image.jpg","","17"
"6034","Beverages & Juices","Energy & Sports Drinks","Energy & Sports Drinks","Red Bull","Red Bull Blue Edition - Blueberry","","Red Bull Blue Edition - Blueberry","3.13","0.0","Market Basket","12 fl oz","12 fl oz","No Image.jpg","","17"
"5925","Beverages & Juices","Tea, Coffee, Milk & Coconut Water","Single To-Go Coffee","Forto","Forto Energy Coffee Organic Coffee Latte","","Forto Energy Coffee Organic Coffee Latte","2.5","0.0","Market Basket","11 fl oz","11 fl oz","No Image.jpg","","17"
"6217","Beverages & Juices","Soft Drinks & Seltzers","Seltzer","Adirondack","Adirondack Beverages Seltzer, Lemon Lime","","Adirondack Beverages Seltzer, Lemon Lime","3.13","0.0","Market Basket","6 x 16.9 fl oz","6 x 16.9 fl oz","No Image.jpg","","11"
