ProductId,Catagory,Sub Catagory,Type,Brand,product,UPC CODE,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
,Ready To Eat,Chowder,Chowder,Market Basket,Market Basket New England Clam Chowder Large,667978571941,Market Basket New England Clam Chowder Large,11.24,0,Market Basket,32 oz,32 oz,X6569.jpg,,0
,Ready To Eat,Chowder,Chowder,Market Basket,Market Basket New England Clam Chowder Small,667978781012,Market Basket New England Clam Chowder Small,7.49,0,Market Basket,20 oz,20 oz,X6570.jpg,,0
,Ready To Eat,Chowder,Chowder,Market Basket,Market Basket Haddock Chowder Small,667978574621,Market Basket Haddock Chowder Small,7.49,0,Market Basket,20 oz,20 oz,X6571.jpg,,0
,Ready To Eat,Chowder,Chowder,Market Basket,Market Basket Haddock Chowder Large,667978572573,Market Basket Haddock Chowder Large,11.24,0,Market Basket,32 oz,32 oz,X6572.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Lentil Soup,667978574218,Market Basket Lentil Soup,4.99,0,Market Basket,20 oz,20 oz,X6573.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Italian-Style Wedding Soup with Meatballs,667978574157,Market Basket Italian-Style Wedding Soup with Meatballs,4.99,0,Market Basket,20 oz,20 oz,X6574.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Hearty Chicken Noodle Soup,880632007161,Market Basket Hearty Chicken Noodle Soup,4.99,0,Market Basket,20 oz,20 oz,X6575.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Broccoli Cheese Soup,077958662918,Market Basket Broccoli Cheese Soup,4.99,0,Market Basket,20 oz,20 oz,X6576.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Harvest Squash Soup,077958662093,Market Basket Harvest Squash Soup,4.99,0,Market Basket,20 oz,20 oz,X6577.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Chunky Beef Chili with Beans Soup,880632007291,Market Basket Chunky Beef Chili with Beans Soup,7.49,0,Market Basket,20 oz,20 oz,X6578.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,"Panera Bread Turkey Sausage, Kale & Quinoa Soup",077958688017,"Panera Bread Turkey Sausage, Kale & Quinoa Soup",5.74,0,Market Basket,16 oz,16 oz,X6579.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Minestrone Soup with Chickpeas & Kale,077958690508,Panera Bread Minestrone Soup with Chickpeas & Kale,5.74,0,Market Basket,16 oz,16 oz,X6580.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Autumn Squash Soup,077958690133,Panera Bread Autumn Squash Soup,5.74,0,Market Basket,16 oz,16 oz,X6581.jpg,,0
,Ready To Eat,Lunch & Dinner,Mac & Cheese,Panera Bread,Panera Bread Mac & Cheese,077958690492,Panera Bread Mac & Cheese,5.74,0,Market Basket,16 oz,16 oz,X6582.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Greek Style Lemon Chicken Soup,077958690614,Panera Bread Greek Style Lemon Chicken Soup,5.74,0,Market Basket,16 oz,16 oz,X6583.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Chicken Noodle Soup,077958690416,Panera Bread Chicken Noodle Soup,5.74,0,Market Basket,16 oz,16 oz,X6584.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Baked Potato Soup,077958690140,Panera Bread Baked Potato Soup,5.74,0,Market Basket,16 oz,16 oz,X6585.jpg,,0
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Broccoli Cheddar Soup,077958690911,Panera Bread Broccoli Cheddar Soup,5.74,0,Market Basket,16 oz,16 oz,X6586.jpg,,0
