Product Id,Catagory,Sub Catagory,Type,Brand,product,UPC CODE,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
,Easter Specials,Candies,Easter Specials,Almond joy,Almondjoy Eggs Coconut & Almond Chocolate Candy Bar,034000290208,Almondjoy Eggs Coconut & Almond Chocolate Candy Bar,6.29,0,Market Basket,6.6 oz,6.6 oz,X6707.jpg,,0
,Easter Specials,Candies,Easter Specials,Brach's ,Brach's Speckled Jelly Bird Eggs Naturally Artificially Flavored ,011300071362,Brach's Speckled Jelly Bird Eggs Naturally Artificially Flavored ,1.99,0,Market Basket,9 oz,9 oz,X6704.jpg,,0
,Easter Specials,Candies,Easter Specials,Brach's ,Brach's Classic Jelly Bird Eggs Naturally Artificially Flavored ,011300071447,Brach's Classic Jelly Bird Eggs Naturally Artificially Flavored ,1.99,0,Market Basket,9 oz,9 oz,X6705.jpg,,0
,Easter Specials,Candies,Easter Specials,Brach's ,Brach's Black Jelly Bird Eggs Naturally & Artificially Flavored ,011300071096,Brach's Black Jelly Bird Eggs Naturally & Artificially Flavored ,1.99,0,Market Basket,9 oz,9 oz,X6706.jpg,,0
,Easter Specials,Candies,Easter Specials,Brach's ,Brach's Milk Chocolate Covered Marshmallow Bunny ,011300078163,Brach's Milk Chocolate Covered Marshmallow Bunny ,3.19,0,Market Basket,3.1 oz,3.1 oz,X6708.jpg,,0
,Easter Specials,Candies,Easter Specials,Cadbury ,Cadbury Mini Eggs Dark Chocolate With A Crisp Sugar Shell ,034000056545,Cadbury Mini Eggs Dark Chocolate With A Crisp Sugar Shell ,4.39,0,Market Basket,10 oz,10 oz,X6715.jpg,,0
,Easter Specials,Candies,Easter Specials,Cadbury ,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,034000056316,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,4.39,0,Market Basket,10 oz,10 oz,X6716.jpg,,0
,Easter Specials,Candies,Easter Specials,Cadbury ,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,034000067138,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,7.49,0,Market Basket,18 oz,18 oz,X6717.jpg,,0
,Easter Specials,Candies,Easter Specials,Cadbury ,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,034000056644,Cadbury Mini Eggs Milk Chocolate With A Crisp Sugar Shell ,13.79,0,Market Basket,31 oz,31 oz,X6718.jpg,,0
,Easter Specials,Candies,Easter Specials,Cadbury ,Cadbury Cream Egg Milk Chocolate Eggs With Soft Fondant  Center ,034000011452,Cadbury Cream Egg Milk Chocolate Eggs With Soft Fondant  Center ,3.79,0,Market Basket,4.8 oz,4.8 oz,X6719.jpg,,0
,Easter Specials,Candies,Easter Specials,Crunch ,Crunch Creamy Chocolate Solid Bunny With Crisped Rice,099900721269,Crunch Creamy Chocolate Solid Bunny With Crisped Rice,4.99,0,Market Basket,4.5 oz,4.5 oz,X6677.jpg,,0
,Easter Specials,Candies,Easter Specials,Dots ,Dots Easter Assorted Fruit Flavored Gumdrops ,071720085035,Dots Easter Assorted Fruit Flavored Gumdrops ,1.29,0,Market Basket,6 oz,6 oz,X6714.jpg,,0
,Easter Specials,Candies,Easter Specials,Dove,Dove Solid Milk Chocolate Bunny ,040000505662,Dove Solid Milk Chocolate Bunny ,12.49,0,Market Basket,12 oz,12 oz,X6710.jpg,,0
,Easter Specials,Candies,Easter Specials,Ferrero Rocher ,Ferrero Rocher Hollow Milk Chocolate And Hazelnut Squirrel,009800120116,Ferrero Rocher Hollow Milk Chocolate And Hazelnut Squirrel,4.99,0,Market Basket,3.1 oz,3.1 oz,X6723.jpg,,0
,Easter Specials,Candies,Easter Specials,Ferrero Rocher ,"Ferrero Rocher Eggs Chocolaty, Crips and Creamy ",009800630127,"Ferrero Rocher Eggs Chocolaty, Crips and Creamy ",3.79,0,Market Basket,3.5 oz,3.5 oz,X6728.jpg,,0
